model,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,accuracy_avg,accuracy_std,precision_1,precision_2,precision_3,precision_4,precision_5,precision_avg,precision_std,recall_1,recall_2,recall_3,recall_4,recall_5,recall_avg,recall_std,f1_1,f1_2,f1_3,f1_4,f1_5,f1_avg,f1_std,roc_auc_1,roc_auc_2,roc_auc_3,roc_auc_4,roc_auc_5,roc_auc_avg,roc_auc_std
LogisticRegression,0.9854700854700855,0.9897435897435898,0.9897435897435898,0.9931565440547476,0.9820359281437125,0.9880299474311451,0.003863581068618273,0.9947735191637631,0.9948186528497409,0.9965337954939342,1.0,0.9982332155477032,0.9968718366110283,0.002018491033484314,0.976068376068376,0.9846153846153847,0.9829059829059829,0.9863013698630136,0.9658119658119658,0.9791406158529445,0.007516901612337159,0.9853321829163072,0.9896907216494846,0.9896729776247848,0.993103448275862,0.9817549956559514,0.9879108652244779,0.003944114104375239,0.9971977500182629,0.9993308495872598,0.9994331214844034,0.99994438590329,0.9996633883620185,0.9991138990710468,0.0009810448030116493
BernoulliNB,0.8042735042735043,0.8196581196581196,0.7897435897435897,0.8126603934987169,0.8229255774165953,0.8098522369181052,0.011920010575420588,0.7219451371571073,0.7355163727959698,0.703971119133574,0.7272727272727273,0.7404580152671756,0.7258326743253107,0.012671139702988917,0.9897435897435898,0.9982905982905983,1.0,1.0,0.9948717948717949,0.9965811965811966,0.0038980356413645606,0.8348954578226387,0.8469905728788979,0.826271186440678,0.8421052631578948,0.849015317286652,0.8398555595173522,0.008354741710431572,0.8874892249251224,0.8913463364745416,0.8811965811965812,0.9072181243414119,0.9091221753892986,0.8952744884653911,0.011033014552744812
MultinomialNB,0.9743589743589743,0.9735042735042735,0.9786324786324786,0.9777587681779298,0.9803250641573995,0.9769159117662112,0.002586756010849565,0.9601990049751243,0.9526143790849673,0.9605263157894737,0.9573770491803278,0.9652317880794702,0.9591897074218727,0.004143250289108937,0.9897435897435898,0.9965811965811966,0.9982905982905983,1.0,0.9965811965811966,0.9962393162393163,0.0034865090691232597,0.9747474747474748,0.9741019214703425,0.9790444258172674,0.9782244556113903,0.9806560134566862,0.9773548582206322,0.0025254112637595957,0.9951289356417562,0.9895098254072612,0.9969289210314851,0.9968900011708232,0.997722749092612,0.9952360864687876,0.0029861734962150265
LinearSVC,0.9854700854700855,0.9888888888888889,0.9914529914529915,0.9914456800684346,0.9820359281437125,0.9878587148048226,0.003645731687027468,0.9930555555555556,0.9914089347079038,0.9982668977469671,1.0,1.0,0.9965462776020854,0.00361647239461921,0.9777777777777777,0.9863247863247864,0.9846153846153847,0.9828767123287672,0.9641025641025641,0.979139445029856,0.008044179715290293,0.9853574504737296,0.988860325621251,0.9913941480206542,0.9913644214162349,0.9817232375979111,0.9877399166259562,0.0037315500765904286,0.9984045584045584,0.9987756592884798,0.9951756885090218,0.9999795105959489,1.0,0.9984670833596017,0.001764634699192143
KNeighborsClassifier,0.8675213675213675,0.8803418803418803,0.8854700854700854,0.8828058169375534,0.7399486740804107,0.8512175648702595,0.05597474185074636,0.9931192660550459,0.9955456570155902,0.9977924944812362,0.9955654101995566,0.9964664310954063,0.9956978517693671,0.0015276158266654557,0.7401709401709402,0.764102564102564,0.7726495726495727,0.7688356164383562,0.48205128205128206,0.705561995082543,0.11232640861734453,0.8481880509304603,0.8646034816247581,0.8709055876685934,0.8676328502415459,0.6497695852534562,0.8202199111437627,0.08558324177845954,0.934347286142158,0.9305004017824531,0.9407217473884141,0.9293569254185693,0.8574815595363542,0.9184815840535897,0.030757351603903343
SGDClassifier,0.9846153846153847,0.9871794871794872,0.9888888888888889,0.9948674080410608,0.9863130881094953,0.9883728513668633,0.003527913271810515,0.9913344887348353,0.9863481228668942,1.0,1.0,1.0,0.9955365223203458,0.005689493294842013,0.9777777777777777,0.9880341880341881,0.9777777777777777,0.9897260273972602,0.9726495726495726,0.9811930687273153,0.006571636733786286,0.9845094664371772,0.9871904355251921,0.9887640449438202,0.9948364888123925,0.9861351819757365,0.9882871235388638,0.0035560064617764313,0.9945854335597926,0.9977587844254511,0.9955146467966981,0.999868282402529,0.9988672286617492,0.997318875169244,0.0019908460003302897
RandomForestClassifier,0.9837606837606837,0.9948717948717949,0.9863247863247864,0.9914456800684346,0.9700598802395209,0.9852925650530441,0.008544814755030423,0.9982394366197183,1.0,1.0,1.0,1.0,0.9996478873239436,0.0007042253521126972,0.9692307692307692,0.9897435897435898,0.9726495726495726,0.9828767123287672,0.9401709401709402,0.9709343168247278,0.017021392881920602,0.9835212489158717,0.9948453608247423,0.9861351819757365,0.9913644214162349,0.9691629955947136,0.9850058417454598,0.008851247036692142,0.9990912411425232,0.9989290671341954,0.9981196581196582,0.9997131483432853,0.99994438590329,0.9991595001285904,0.000642121808161915
GradientBoostingClassifier,0.9769230769230769,0.9888888888888889,0.982051282051282,0.9897348160821214,0.9615055603079555,0.979820724850665,0.010289196325600764,0.9894736842105263,0.9880546075085325,0.9964788732394366,0.9897260273972602,0.9945054945054945,0.9916477373722501,0.0032507447822104356,0.9641025641025641,0.9897435897435898,0.9675213675213675,0.9897260273972602,0.9282051282051282,0.967859735393982,0.022555515987891038,0.9766233766233765,0.9888983774551666,0.9817866435385949,0.9897260273972602,0.960212201591512,0.979449325321182,0.01075556752267347,0.9946467966980788,0.9987639710716633,0.9989772810285631,0.9990633415290949,0.9947415408031847,0.9972385862261168,0.0020800095798172327
MLPClassifier,0.9846153846153847,0.994017094017094,0.9905982905982906,0.9974337040205303,0.9905902480752781,0.9914509442653155,0.004256083428984204,0.9913344887348353,0.9931740614334471,0.9965397923875432,1.0,0.9982638888888888,0.9958624462889428,0.0031960878508910107,0.9777777777777777,0.9948717948717949,0.9846153846153847,0.9948630136986302,0.9829059829059829,0.9870067907739142,0.006801303662829781,0.9845094664371772,0.9940222032450897,0.9905417024935512,0.9974248927038626,0.9905254091300603,0.9914047348019481,0.004293162154860077,0.9955526335013514,0.9989246840528893,0.999140916063993,0.9999824376536706,0.9989667486242828,0.9985134839792374,0.0015292263279206807
