model,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,accuracy_avg,accuracy_std,precision_1,precision_2,precision_3,precision_4,precision_5,precision_avg,precision_std,recall_1,recall_2,recall_3,recall_4,recall_5,recall_avg,recall_std,f1_1,f1_2,f1_3,f1_4,f1_5,f1_avg,f1_std,roc_auc_1,roc_auc_2,roc_auc_3,roc_auc_4,roc_auc_5,roc_auc_avg,roc_auc_std
LogisticRegression,0.9692307692307692,0.9811965811965812,0.9829059829059829,0.9871685201026519,0.9435414884516681,0.9728086683775305,0.01579802118514316,0.9841269841269841,0.9845094664371773,0.9896013864818024,0.9846678023850085,0.9850467289719627,0.985590473680587,0.002027056016029365,0.9538461538461539,0.9777777777777777,0.976068376068376,0.9897260273972602,0.9008547008547009,0.9596546071888538,0.031601640936874294,0.96875,0.9811320754716981,0.9827882960413081,0.9871904355251921,0.9410714285714286,0.9721864471219253,0.016718233658533362,0.9941179048871357,0.9983110526700271,0.9980743662794944,0.9993443390703665,0.9945673808687507,0.9968830087551549,0.0021224853829136547
BernoulliNB,0.8555555555555555,0.882051282051282,0.8333333333333334,0.8579982891360137,0.8682634730538922,0.8594403866260153,0.01604898274215376,0.7849315068493151,0.8125874125874126,0.75390625,0.7794117647058824,0.7988904299583911,0.7859454728202002,0.019736231339873515,0.9794871794871794,0.9931623931623932,0.9897435897435898,0.9982876712328768,0.9846153846153847,0.9890592436482848,0.006539729911945147,0.8714828897338404,0.8938461538461538,0.8558758314855877,0.8753753753753755,0.8820826952526799,0.8757325891387275,0.012497227254625171,0.9728175907663087,0.9860092044707429,0.9829994886405143,0.9880473597939352,0.9677013815712445,0.979515005048549,0.007893470558258769
MultinomialNB,0.9692307692307692,0.9794871794871794,0.9794871794871794,0.981180496150556,0.9666381522668948,0.9752047553245158,0.006024333816000811,0.9676320272572402,0.9698492462311558,0.9682804674457429,0.9667774086378738,0.9642857142857143,0.9673649727715453,0.0018389196639700327,0.9709401709401709,0.9897435897435898,0.9914529914529915,0.9965753424657534,0.9692307692307692,0.983588572766655,0.011265150630302942,0.9692832764505119,0.9796954314720812,0.9797297297297297,0.981450252951096,0.9667519181585678,0.9753821217523975,0.0060992602862049074,0.9917481189276062,0.9964380159251954,0.9974578128424283,0.9975471256293174,0.9922901299613629,0.995096240657182,0.002548269905479739
LinearSVC,0.9811965811965812,0.9923076923076923,0.9923076923076923,0.998289136013687,0.979469632164243,0.9887141467979792,0.007203921161789113,0.9878682842287695,0.9948453608247423,0.9982698961937716,1.0,0.9982238010657194,0.9958414684626007,0.004322731813975075,0.9743589743589743,0.9897435897435898,0.9863247863247864,0.9965753424657534,0.9606837606837607,0.981537290715373,0.012671261964695384,0.981067125645439,0.9922879177377892,0.9922613929492691,0.9982847341337907,0.9790940766550522,0.988599049424268,0.0073199368983007515,0.9967126890203813,0.9992110453648915,0.9985155964643144,0.999923896499239,0.9997014401123991,0.9988129334922451,0.001155994120216993
KNeighborsClassifier,0.964957264957265,0.9529914529914529,0.9700854700854701,0.962360992301112,0.9615055603079555,0.9623801481286511,0.005566442037561295,0.9533333333333334,0.9260450160771704,0.9523026315789473,0.9354838709677419,0.972027972027972,0.9478385647970329,0.015892419709444248,0.9777777777777777,0.9846153846153847,0.9897435897435898,0.9931506849315068,0.9504273504273504,0.979142957499122,0.015264252982161905,0.9654008438818567,0.9544324772162385,0.9706621961441744,0.9634551495016611,0.9611063094209161,0.9630113952329694,0.00532293760190035,0.9875505880634086,0.9923953539338154,0.9939367375264812,0.9982920618194591,0.9890249970729423,0.9922399476832213,0.0037909717346196565
SGDClassifier,0.982051282051282,0.9914529914529915,0.9914529914529915,0.9991445680068435,0.9786142001710864,0.988543206627039,0.007349187879916576,0.9878892733564014,0.9931389365351629,0.9965457685664939,1.0,0.998220640569395,0.9951589238054905,0.004281626627317456,0.976068376068376,0.9897435897435898,0.9863247863247864,0.9982876712328768,0.958974358974359,0.9818797564687977,0.013485156340482559,0.9819432502149613,0.9914383561643836,0.9914089347079039,0.9991431019708655,0.9782040104620751,0.988427530704038,0.007474537670789269,0.9963445101906641,0.9987113740959894,0.9975367083059392,0.9999736564805058,0.9995609413417632,0.9984254380829723,0.0013332823234632608
RandomForestClassifier,0.982051282051282,0.9931623931623932,0.994017094017094,0.9974337040205303,0.9786142001710864,0.9890557346844773,0.0073451766508701105,0.993006993006993,1.0,1.0,1.0,1.0,0.9986013986013986,0.0027972027972027916,0.9709401709401709,0.9863247863247864,0.9880341880341881,0.9948630136986302,0.9572649572649573,0.9794854232525466,0.013587486892291788,0.9818496110630942,0.9931153184165232,0.9939810834049871,0.9974248927038626,0.9781659388646288,0.988907368890619,0.007499171882951758,0.9986675432829278,0.998452772298926,0.9991613704434217,0.9999663388362019,0.9997833977286031,0.9992062845180161,0.0005951104571801915
GradientBoostingClassifier,0.9743589743589743,0.9803418803418803,0.9863247863247864,0.9871685201026519,0.960650128314799,0.9777688578886184,0.009724774687313252,0.9894179894179894,0.9895470383275261,0.9965095986038395,0.9965095986038395,0.9944954128440368,0.9932959275594462,0.003199584435931157,0.958974358974359,0.9709401709401709,0.976068376068376,0.9777397260273972,0.9264957264957265,0.962043671701206,0.018948790154799455,0.9739583333333334,0.9801553062985332,0.9861830742659758,0.9870354364736387,0.9592920353982302,0.9773248371539422,0.01017143988424615,0.9929242457447585,0.9974680400321426,0.9984089414858646,0.9993853178784686,0.9943419974241892,0.9965057085130846,0.002463698400193181
MLPClassifier,0.9769230769230769,0.9871794871794872,0.9897435897435898,0.9863130881094953,0.9726261762189906,0.982557083634928,0.006595225665959573,0.9761092150170648,0.981418918918919,0.9880749574105622,0.9765100671140939,0.9775474956822107,0.9799321308285702,0.004483923588087648,0.9777777777777777,0.9931623931623932,0.9914529914529915,0.9965753424657534,0.9675213675213675,0.9852979744760567,0.010949643439287867,0.9769427839453458,0.9872557349192864,0.9897610921501707,0.9864406779661017,0.9725085910652921,0.9825817760092393,0.006656528868239692,0.9945416027467309,0.9991730586602381,0.9986996858791731,0.9997833977286033,0.9969851305467743,0.997836575112304,0.0018922509086893757
