model,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,accuracy_avg,accuracy_std,precision_1,precision_2,precision_3,precision_4,precision_5,precision_avg,precision_std,recall_1,recall_2,recall_3,recall_4,recall_5,recall_avg,recall_std,f1_1,f1_2,f1_3,f1_4,f1_5,f1_avg,f1_std,roc_auc_1,roc_auc_2,roc_auc_3,roc_auc_4,roc_auc_5,roc_auc_avg,roc_auc_std
LogisticRegression,0.9854700854700855,0.9897435897435898,0.9905982905982906,0.9931565440547476,0.981180496150556,0.9880298012034541,0.004225702912848633,0.9965034965034965,0.9948186528497409,0.9965397923875432,1.0,1.0,0.997572388348156,0.002077423406675801,0.9743589743589743,0.9846153846153847,0.9846153846153847,0.9863013698630136,0.9623931623931624,0.9784568551691839,0.009079936490947977,0.9853068280034571,0.9896907216494846,0.9905417024935512,0.993103448275862,0.9808362369337978,0.9878957874712306,0.004333182455933326,0.9972561911023451,0.9994974066768938,0.9993688362919132,0.9999648753073411,0.9997716894977169,0.9991717997752421,0.0009801261459351414
BernoulliNB,0.7649572649572649,0.7743589743589744,0.747008547008547,0.7775876817792986,0.7929854576561164,0.7713795851520402,0.015161956650234735,0.6810747663551402,0.6894923258559622,0.6640181611804767,0.6919431279620853,0.7073760580411125,0.6867808878789553,0.014204669670086762,0.9965811965811966,0.9982905982905983,1.0,1.0,1.0,0.9989743589743589,0.0013675213675213627,0.8091603053435116,0.8156424581005587,0.7980900409276944,0.8179271708683473,0.8286118980169972,0.8138863746514218,0.01008080147361009,0.8001212652494704,0.8085382423843963,0.7863247863247864,0.8205128205128205,0.829623287671233,0.8090240804285413,0.015172821736763924
MultinomialNB,0.9461538461538461,0.9504273504273504,0.9743589743589743,0.9846022241231822,0.9863130881094953,0.9683710966345697,0.016951716633737273,0.90527950310559,0.9123630672926447,0.9512195121951219,0.9700996677740864,0.9733777038269551,0.9424678908388795,0.02858250896919053,0.9965811965811966,0.9965811965811966,1.0,1.0,1.0,0.9986324786324786,0.0016748647813902013,0.9487388120423108,0.9526143790849673,0.975,0.9848229342327149,0.9865092748735245,0.9695370800467036,0.015940526902675393,0.9749200087661626,0.9733625538753744,0.9887150266637446,0.9973232057136165,0.9981822971548999,0.9865006184347596,0.01063214820811512
LinearSVC,0.9854700854700855,0.9905982905982906,0.9914529914529915,0.9914456800684346,0.981180496150556,0.9880295087480716,0.004085308350462543,0.9930555555555556,0.9948275862068966,0.9982668977469671,1.0,1.0,0.9972300079018839,0.002814908005260548,0.9777777777777777,0.9863247863247864,0.9846153846153847,0.9828767123287672,0.9623931623931624,0.9787975646879756,0.008686655509977229,0.9853574504737296,0.9905579399141631,0.9913941480206542,0.9913644214162349,0.9808362369337978,0.9879020393517159,0.004186578953776281,0.9984600774344364,0.9992227335817079,0.9966104171232376,0.9999853647113921,1.0,0.9988557185701549,0.001258418921473063
KNeighborsClassifier,0.8581196581196581,0.8641025641025641,0.8752136752136752,0.8768177929854577,0.7236954662104362,0.8395898313263583,0.058362165479648405,0.9929411764705882,0.9953488372093023,0.9977324263038548,0.9954954954954955,0.9962121212121212,0.9955460113382724,0.0015524630070421366,0.7213675213675214,0.7316239316239316,0.7521367521367521,0.7568493150684932,0.4495726495726496,0.6823100339538696,0.11709475899148454,0.8356435643564357,0.8433497536945813,0.8576998050682261,0.8599221789883268,0.6195524146054181,0.8032335433425978,0.09228071513271367,0.9261129373949887,0.9173584629994888,0.9251413543721236,0.9125643952698748,0.828774440931975,0.9019903181936902,0.03694976832742963
SGDClassifier,0.9863247863247864,0.9914529914529915,0.9948717948717949,0.9957228400342173,0.9863130881094953,0.9909371001586571,0.004032522753875063,0.9947826086956522,0.9931389365351629,1.0,1.0,1.0,0.997584309046163,0.00300391577674732,0.9777777777777777,0.9897435897435898,0.9897435897435898,0.9914383561643836,0.9726495726495726,0.9842705772157828,0.007595906515816333,0.9862068965517241,0.9914383561643836,0.9948453608247423,0.9957007738607051,0.9861351819757365,0.9908653138754582,0.004089641162819971,0.9952823434874718,0.9983139747242311,0.9952633501351451,0.9997482730359443,0.9992887249736565,0.9975793332712897,0.0019393791642208656
RandomForestClassifier,0.982051282051282,0.9888888888888889,0.9846153846153847,0.9854576561163387,0.9563729683490163,0.9794772360041822,0.011757364524629077,0.9964788732394366,1.0,1.0,1.0,1.0,0.9992957746478872,0.00140845070422535,0.9675213675213675,0.9777777777777777,0.9692307692307692,0.9708904109589042,0.9128205128205128,0.9596481676618662,0.023671559239313664,0.9817866435385949,0.9887640449438202,0.9843749999999999,0.9852302345786274,0.9544235924932977,0.978915903110868,0.012448074937776865,0.9989451384323179,0.9986646212287238,0.9983811819709254,0.9997775436131601,0.9998024236037935,0.9991141817697841,0.0005799473756255407
GradientBoostingClassifier,0.9752136752136752,0.9863247863247864,0.9811965811965812,0.9888793840889649,0.9597946963216424,0.97828182462913,0.010360316202540321,0.987719298245614,0.9863247863247864,0.9929947460595446,0.9897084048027445,0.9926739926739927,0.9898842456213364,0.002639907923046746,0.9623931623931624,0.9863247863247864,0.9692307692307692,0.988013698630137,0.9264957264957265,0.9664916286149163,0.02227341978905225,0.9748917748917749,0.9863247863247864,0.9809688581314878,0.9888603256212511,0.9584438549955792,0.9778979199929758,0.010845410344251807,0.9939732632040325,0.9986134852801519,0.9988487106435824,0.9990340709518792,0.9947151972836904,0.9970369454726672,0.002215091179839205
MLPClassifier,0.9863247863247864,0.9914529914529915,0.994017094017094,0.9991445680068435,0.9923011120615911,0.9926481103726614,0.004137903384225396,0.9896729776247849,0.9881154499151104,0.9965635738831615,1.0,0.9982698961937716,0.9945243795233656,0.004749318003136321,0.9829059829059829,0.9948717948717949,0.9914529914529915,0.9982876712328768,0.9863247863247864,0.9907686453576865,0.00557511003584299,0.9862778730703259,0.9914821124361158,0.9940017137960583,0.9991431019708655,0.9922613929492691,0.9926332388445269,0.004149821131530355,0.9961691869384177,0.9986879976623566,0.9997457812842429,0.9999765835382273,0.9994906919564455,0.998814048275938,0.001392023100174369
