model,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,accuracy_avg,accuracy_std,precision_1,precision_2,precision_3,precision_4,precision_5,precision_avg,precision_std,recall_1,recall_2,recall_3,recall_4,recall_5,recall_avg,recall_std,f1_1,f1_2,f1_3,f1_4,f1_5,f1_avg,f1_std,roc_auc_1,roc_auc_2,roc_auc_3,roc_auc_4,roc_auc_5,roc_auc_avg,roc_auc_std
LogisticRegression,0.9846153846153847,0.9905982905982906,0.9905982905982906,0.9974337040205303,0.981180496150556,0.9888852331966105,0.0055953563712376935,0.9930434782608696,0.9965397923875432,0.9965397923875432,1.0,0.9982300884955753,0.9968706303063062,0.0023024804661083446,0.976068376068376,0.9846153846153847,0.9846153846153847,0.9948630136986302,0.9641025641025641,0.980852944620068,0.010276782460768684,0.9844827586206896,0.9905417024935512,0.9905417024935512,0.9974248927038626,0.9808695652173912,0.9887721243058092,0.005691789050940583,0.9971013222295273,0.9994126671049748,0.9986178683614582,0.9999619482496195,0.9993033602622643,0.9988794332415688,0.0009865075947263805
BernoulliNB,0.7829059829059829,0.7965811965811965,0.7581196581196581,0.795551753635586,0.8100940975192472,0.7886505377523341,0.01752417134778089,0.6996381182147166,0.7113276492082826,0.673963133640553,0.7095990279465371,0.7254658385093168,0.7039987535038812,0.017129303111388484,0.9914529914529915,0.9982905982905983,1.0,1.0,0.9982905982905983,0.9976068376068377,0.0031704678617079213,0.8203677510608205,0.8307254623044097,0.8052305574673091,0.830135039090263,0.8402877697841726,0.8253493159413949,0.011870500664967266,0.8861932938856016,0.9127883702242677,0.8786324786324786,0.9006263903524178,0.9091382742067674,0.8974757614603066,0.013136057516919536
MultinomialNB,0.9675213675213675,0.9700854700854701,0.9786324786324786,0.9863130881094953,0.9820359281437125,0.9769176664985049,0.007104653017085779,0.9461663947797716,0.9464285714285714,0.9605263157894737,0.9733333333333334,0.9653465346534653,0.9583602299969233,0.01066534854031783,0.9914529914529915,0.9965811965811966,0.9982905982905983,1.0,1.0,0.9972649572649572,0.0031704678617079213,0.9682804674457429,0.9708576186511241,0.9790444258172674,0.9864864864864865,0.982367758186398,0.9774073513174037,0.006868993402952984,0.9924990868580612,0.9895814157352619,0.9966717802615238,0.9986447722749092,0.9983930453108536,0.995158020088122,0.0035519780657152717
LinearSVC,0.9863247863247864,0.9905982905982906,0.9905982905982906,0.9965782720273738,0.979469632164243,0.988713854342597,0.005658878956130328,0.9947826086956522,0.9948275862068966,0.9982638888888888,1.0,1.0,0.9975748167582875,0.0023486825873446217,0.9777777777777777,0.9863247863247864,0.9829059829059829,0.9931506849315068,0.958974358974359,0.9798267181828827,0.01156074298715414,0.9862068965517241,0.9905579399141631,0.9905254091300603,0.9965635738831615,0.9790575916230366,0.9885822822204291,0.005792101003375041,0.9979341076776973,0.9994068229965667,0.9966250273942583,0.9999882917691137,1.0,0.9987908499675273,0.0013191003155017464
KNeighborsClassifier,0.8623931623931624,0.8675213675213675,0.8803418803418803,0.8776732249786142,0.7339606501283148,0.8443780570726679,0.055595189332481955,0.9953271028037384,0.9953917050691244,0.9977628635346756,0.9977426636568849,0.9963768115942029,0.9965202293317252,0.001072955918215777,0.7282051282051282,0.7384615384615385,0.7623931623931623,0.7568493150684932,0.4700854700854701,0.6911989228427584,0.11124114958526196,0.8410661401776901,0.8478900883218843,0.8643410852713178,0.8607594936708861,0.6387921022067364,0.8105697819297031,0.08630268201431628,0.9235093870991308,0.9207758053911901,0.9227788735481044,0.920315244116614,0.8398782343987823,0.9054515089107642,0.03280836340646873
SGDClassifier,0.9854700854700855,0.9923076923076923,0.9897435897435898,0.998289136013687,0.9846022241231822,0.9900825455316473,0.004974394578251479,0.9965034965034965,0.9982698961937716,0.9948186528497409,1.0,1.0,0.9979184091094018,0.0020199035122390524,0.9743589743589743,0.9863247863247864,0.9846153846153847,0.9965753424657534,0.9692307692307692,0.9822210513991336,0.009583097934539035,0.9853068280034571,0.9922613929492691,0.9896907216494846,0.9982847341337907,0.9843749999999999,0.9899837353472002,0.005049980921373467,0.9919044488275256,0.9981328073635767,0.9959149682226605,0.9998814541622761,0.9991248097412481,0.9969916976634574,0.0028720180401228764
RandomForestClassifier,0.9829059829059829,0.9897435897435898,0.9880341880341881,0.9957228400342173,0.9700598802395209,0.9852932961914999,0.008646955670633043,0.9982363315696648,0.9982608695652174,1.0,0.9982788296041308,1.0,0.9989552061478026,0.0008531773045524735,0.9675213675213675,0.9811965811965812,0.976068376068376,0.9931506849315068,0.9401709401709402,0.9716215899777543,0.01778151562925257,0.982638888888889,0.9896551724137931,0.9878892733564013,0.9957081545064377,0.9691629955947136,0.985010896952047,0.00895620526962334,0.9988180290744393,0.9987099130688875,0.9993381547227701,0.9999736564805058,0.9998712094602505,0.9993421925613706,0.0005202204498589992
GradientBoostingClassifier,0.9700854700854701,0.9752136752136752,0.982051282051282,0.9854576561163387,0.9615055603079555,0.9748627287549443,0.008547363301284283,0.9841549295774648,0.9843205574912892,0.9947368421052631,0.9947643979057592,0.990909090909091,0.9897771635977735,0.0047357415883671145,0.9555555555555556,0.9658119658119658,0.9692307692307692,0.976027397260274,0.9316239316239316,0.9596499238964993,0.015493257156851566,0.9696444058976583,0.9749784296807594,0.9818181818181819,0.9853068280034573,0.960352422907489,0.9744200536615093,0.008879988582985391,0.9920943823507926,0.9974388194901016,0.9979428738403098,0.9987501463528862,0.9921130429692074,0.9956678530006595,0.00294003201621761
MLPClassifier,0.9829059829059829,0.9931623931623932,0.9923076923076923,0.9974337040205303,0.9828913601368692,0.9897402265066937,0.005849898420659274,0.9845626072041166,0.9948542024013722,0.9948453608247423,0.9982847341337907,0.9879101899827288,0.9920914189093502,0.005054503006154162,0.9811965811965812,0.9914529914529915,0.9897435897435898,0.9965753424657534,0.9777777777777777,0.9873492565273387,0.006887129341205794,0.982876712328767,0.9931506849315068,0.9922879177377892,0.9974293059125964,0.9828178694158075,0.9897124980652933,0.005869700326570113,0.9946730951859157,0.999111695521952,0.9985389728979472,0.9999736564805057,0.9979422784217304,0.9980479397016102,0.0018155888834708517
