model,vocab,auc score,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg
logistic regression,18627,0.9691493035570392,0.9886363636363636,0.8666666666666667,0.7647058823529411,0.8125,0.9922027290448343,0.9960861056751468,0.9941406250000001,0.9294346978557505,0.880395994014044,0.9033203125
bernoulli naive-bayes,18627,0.9650051801542535,0.9867424242424242,0.7777777777777778,0.8235294117647058,0.7999999999999999,0.9941176470588236,0.9921722113502935,0.9931439764936337,0.8859477124183006,0.9078508115574997,0.8965719882468168
multinomial naive-bayes,18627,0.9595947968228387,0.9848484848484849,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.9941060903732809,0.9902152641878669,0.992156862745098,0.8654740978182194,0.9068723379762864,0.8849673202614379
linear svm,18627,0.9730631978818924,0.9886363636363636,0.9230769230769231,0.7058823529411765,0.8000000000000002,0.9902912621359223,0.9980430528375733,0.9941520467836257,0.9566840926064227,0.8519627028893749,0.8970760233918129
knn,18627,0.7927362725912284,0.9829545454545454,0.8333333333333334,0.5882352941176471,0.6896551724137931,0.9864341085271318,0.9960861056751468,0.991236611489776,0.9098837209302326,0.7921606998963969,0.8404458919517845
sgd,18627,0.9792793829860712,0.990530303030303,0.9285714285714286,0.7647058823529411,0.8387096774193549,0.9922178988326849,0.9980430528375733,0.9951219512195121,0.9603946637020567,0.8813744675952573,0.9169158143194335
random forest,18627,0.9534937262576264,0.9867424242424242,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.9883720930232558,0.9980430528375733,0.9931840311587146,0.9525193798449612,0.8225509381834926,0.8759023604069435
gradient boosting,18627,0.9638540347645908,0.9848484848484849,0.8,0.7058823529411765,0.7500000000000001,0.9902534113060428,0.9941291585127201,0.9921875,0.8951267056530214,0.8500057557269483,0.87109375
mlp,18627,0.9499251755496719,0.9886363636363636,0.9230769230769231,0.7058823529411765,0.8000000000000002,0.9902912621359223,0.9980430528375733,0.9941520467836257,0.9566840926064227,0.8519627028893749,0.8970760233918129
