model,vocab,auc score,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg
logistic regression,233164,0.9580983078162773,0.9867424242424242,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.9883720930232558,0.9980430528375733,0.9931840311587146,0.9525193798449612,0.8225509381834926,0.8759023604069435
bernoulli naive-bayes,233164,0.9783584666743409,0.9924242424242424,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.9960861056751468,0.9960861056751468,0.9960861056751468,0.9392195234258087,0.9392195234258087,0.9392195234258087
multinomial naive-bayes,233164,0.9823874755381605,0.9678030303030303,0.5,0.9411764705882353,0.6530612244897959,0.9979838709677419,0.9686888454011742,0.9831181727904666,0.748991935483871,0.9549326579947047,0.8180896986401313
linear svm,233164,0.9515367790951997,0.9867424242424242,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.9883720930232558,0.9980430528375733,0.9931840311587146,0.9525193798449612,0.8225509381834926,0.8759023604069435
knn,233164,0.9631633475307931,0.9715909090909091,0.5333333333333333,0.9411764705882353,0.6808510638297872,0.9979919678714859,0.9726027397260274,0.9851337958374629,0.7656626506024096,0.9568896051571314,0.8329924298336251
sgd,233164,0.9536088407965927,0.9848484848484849,0.9090909090909091,0.5882352941176471,0.7142857142857143,0.9864603481624759,0.9980430528375733,0.9922178988326847,0.9477756286266925,0.7931391734776102,0.8532518065591995
random forest,233164,0.9560838033843674,0.9829545454545454,1.0,0.47058823529411764,0.6399999999999999,0.9826923076923076,1.0,0.9912706110572259,0.9913461538461539,0.7352941176470589,0.815635305528613
gradient boosting,233164,0.9675377000115115,0.9886363636363636,0.9230769230769231,0.7058823529411765,0.8000000000000002,0.9902912621359223,0.9980430528375733,0.9941520467836257,0.9566840926064227,0.8519627028893749,0.8970760233918129
mlp,233164,0.9827328191550593,0.9867424242424242,0.8571428571428571,0.7058823529411765,0.7741935483870968,0.9902723735408561,0.9960861056751468,0.9931707317073171,0.9237076153418566,0.8509842293081616,0.8836821400472069
