model,vocab,auc score,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg
logistic regression,18627,0.9503856337055371,0.9867424242424242,0.8571428571428571,0.7058823529411765,0.7741935483870968,0.9902723735408561,0.9960861056751468,0.9931707317073171,0.9237076153418566,0.8509842293081616,0.8836821400472069
bernoulli naive-bayes,18627,0.9650051801542535,0.9867424242424242,0.7777777777777778,0.8235294117647058,0.7999999999999999,0.9941176470588236,0.9921722113502935,0.9931439764936337,0.8859477124183006,0.9078508115574997,0.8965719882468168
multinomial naive-bayes,18627,0.9750201450443191,0.9696969696969697,0.5185185185185185,0.8235294117647058,0.6363636363636364,0.9940119760479041,0.974559686888454,0.9841897233201581,0.7562652472832113,0.89904454932658,0.8102766798418972
linear svm,18627,0.948658915621043,0.9848484848484849,0.8461538461538461,0.6470588235294118,0.7333333333333334,0.9883495145631068,0.9960861056751468,0.9922027290448343,0.9172516803584765,0.8215724646022793,0.8627680311890839
knn,18627,0.9000230229077932,0.9734848484848485,0.56,0.8235294117647058,0.6666666666666666,0.9940357852882704,0.9784735812133072,0.9861932938856016,0.7770178926441352,0.9010014964890065,0.8264299802761341
sgd,18627,0.9478531138482791,0.9848484848484849,0.8461538461538461,0.6470588235294118,0.7333333333333334,0.9883495145631068,0.9960861056751468,0.9922027290448343,0.9172516803584765,0.8215724646022793,0.8627680311890839
random forest,18627,0.9524001381374467,0.9867424242424242,1.0,0.5882352941176471,0.7407407407407407,0.9864864864864865,1.0,0.9931972789115647,0.9932432432432432,0.7941176470588236,0.8669690098261527
gradient boosting,18627,0.9668470127777138,0.990530303030303,0.875,0.8235294117647058,0.8484848484848485,0.994140625,0.9960861056751468,0.9951124144672531,0.9345703125,0.9098077587199263,0.9217986314760508
mlp,18627,0.9755957177391504,0.9848484848484849,0.7647058823529411,0.7647058823529411,0.7647058823529412,0.9921722113502935,0.9921722113502935,0.9921722113502935,0.8784390468516173,0.8784390468516173,0.8784390468516174
