model,vocab,auc score,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg
logistic regression,92268,0.9597099113618051,0.9829545454545454,0.7857142857142857,0.6470588235294118,0.7096774193548386,0.9883268482490273,0.9941291585127201,0.9912195121951219,0.8870205669816564,0.820593991021066,0.8504484657749802
bernoulli naive-bayes,92268,0.9530332681017613,0.990530303030303,0.875,0.8235294117647058,0.8484848484848485,0.994140625,0.9960861056751468,0.9951124144672531,0.9345703125,0.9098077587199263,0.9217986314760508
multinomial naive-bayes,92268,0.9850351099343847,0.9678030303030303,0.5,0.8235294117647058,0.6222222222222222,0.994,0.9726027397260274,0.983184965380811,0.747,0.8980660757453667,0.8027035938015166
linear svm,92268,0.9560262461148843,0.9829545454545454,0.7857142857142857,0.6470588235294118,0.7096774193548386,0.9883268482490273,0.9941291585127201,0.9912195121951219,0.8870205669816564,0.820593991021066,0.8504484657749802
knn,92268,0.9035340163462646,0.9715909090909091,0.5384615384615384,0.8235294117647058,0.6511627906976744,0.9940239043824701,0.9765166340508806,0.9851924975320829,0.7662427214220042,0.9000230229077932,0.8181776441148787
sgd,92268,0.956256475192817,0.9867424242424242,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.9883720930232558,0.9980430528375733,0.9931840311587146,0.9525193798449612,0.8225509381834926,0.8759023604069435
random forest,92268,0.9107862323011395,0.9810606060606061,0.8888888888888888,0.47058823529411764,0.6153846153846153,0.9826589595375722,0.9980430528375733,0.9902912621359223,0.9357739242132306,0.7343156440658455,0.8028379387602689
gradient boosting,92268,0.9453781512605042,0.9848484848484849,0.8,0.7058823529411765,0.7500000000000001,0.9902534113060428,0.9941291585127201,0.9921875,0.8951267056530214,0.8500057557269483,0.87109375
mlp,92268,0.9686888454011741,0.990530303030303,0.875,0.8235294117647058,0.8484848484848485,0.994140625,0.9960861056751468,0.9951124144672531,0.9345703125,0.9098077587199263,0.9217986314760508
