model,vocab,auc score,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg
logistic regression,108871,0.9591343386669736,0.9867424242424242,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.9883720930232558,0.9980430528375733,0.9931840311587146,0.9525193798449612,0.8225509381834926,0.8759023604069435
bernoulli naive-bayes,108871,0.9701853344077356,0.9848484848484849,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.9941060903732809,0.9902152641878669,0.992156862745098,0.8654740978182194,0.9068723379762864,0.8849673202614379
multinomial naive-bayes,108871,0.9835386209278233,0.9678030303030303,0.5,0.8823529411764706,0.6382978723404256,0.9959839357429718,0.9706457925636007,0.9831516352824579,0.7479919678714859,0.9264993668700356,0.8107247538114417
linear svm,108871,0.9532634971796938,0.9867424242424242,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.9883720930232558,0.9980430528375733,0.9931840311587146,0.9525193798449612,0.8225509381834926,0.8759023604069435
knn,108871,0.9344422700587085,0.9734848484848485,0.5555555555555556,0.8823529411764706,0.6818181818181819,0.9960079840319361,0.9765166340508806,0.9861660079051383,0.7757817697937459,0.9294347876136756,0.8339920948616601
sgd,108871,0.9509612064003683,0.9867424242424242,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.9883720930232558,0.9980430528375733,0.9931840311587146,0.9525193798449612,0.8225509381834926,0.8759023604069435
random forest,108871,0.9583860941636928,0.9829545454545454,1.0,0.47058823529411764,0.6399999999999999,0.9826923076923076,1.0,0.9912706110572259,0.9913461538461539,0.7352941176470589,0.815635305528613
gradient boosting,108871,0.9586738805111085,0.990530303030303,0.9285714285714286,0.7647058823529411,0.8387096774193549,0.9922178988326849,0.9980430528375733,0.9951219512195121,0.9603946637020567,0.8813744675952573,0.9169158143194335
mlp,108871,0.9804305283757337,0.9886363636363636,0.9230769230769231,0.7058823529411765,0.8000000000000002,0.9902912621359223,0.9980430528375733,0.9941520467836257,0.9566840926064227,0.8519627028893749,0.8970760233918129
