model,vocab,auc score,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg
logistic regression,17949,0.9612064003683665,0.9829545454545454,0.7857142857142857,0.6470588235294118,0.7096774193548386,0.9883268482490273,0.9941291585127201,0.9912195121951219,0.8870205669816564,0.820593991021066,0.8504484657749802
bernoulli naive-bayes,17949,0.9480833429262115,0.9886363636363636,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.9941291585127201,0.9941291585127201,0.9941291585127201,0.908829285138713,0.908829285138713,0.908829285138713
multinomial naive-bayes,17949,0.9818119028433291,0.9696969696969697,0.5185185185185185,0.8235294117647058,0.6363636363636364,0.9940119760479041,0.974559686888454,0.9841897233201581,0.7562652472832113,0.89904454932658,0.8102766798418972
linear svm,17949,0.957637849660412,0.9829545454545454,0.7857142857142857,0.6470588235294118,0.7096774193548386,0.9883268482490273,0.9941291585127201,0.9912195121951219,0.8870205669816564,0.820593991021066,0.8504484657749802
knn,17949,0.8725106480948545,0.9659090909090909,0.48148148148148145,0.7647058823529411,0.5909090909090909,0.9920159680638723,0.9726027397260274,0.9822134387351779,0.7367487247726768,0.8686543110394842,0.7865612648221344
sgd,17949,0.9561413606538506,0.9848484848484849,0.8461538461538461,0.6470588235294118,0.7333333333333334,0.9883495145631068,0.9960861056751468,0.9922027290448343,0.9172516803584765,0.8215724646022793,0.8627680311890839
random forest,17949,0.9438241049844596,0.9848484848484849,1.0,0.5294117647058824,0.6923076923076924,0.9845857418111753,1.0,0.992233009708738,0.9922928709055876,0.7647058823529411,0.8422703510082152
gradient boosting,17949,0.9429031886727293,0.9867424242424242,0.8571428571428571,0.7058823529411765,0.7741935483870968,0.9902723735408561,0.9960861056751468,0.9931707317073171,0.9237076153418566,0.8509842293081616,0.8836821400472069
mlp,17949,0.9681132727063427,0.9867424242424242,0.8125,0.7647058823529411,0.787878787878788,0.9921875,0.9941291585127201,0.9931573802541545,0.90234375,0.8794175204328306,0.8905180840664713
