model,vocab,auc score,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg
logistic regression,176130,0.96017036951767,0.9829545454545454,0.7857142857142857,0.6470588235294118,0.7096774193548386,0.9883268482490273,0.9941291585127201,0.9912195121951219,0.8870205669816564,0.820593991021066,0.8504484657749802
bernoulli naive-bayes,176130,0.9552204443421204,0.9924242424242424,0.9333333333333333,0.8235294117647058,0.8749999999999999,0.9941520467836257,0.9980430528375733,0.99609375,0.9637426900584796,0.9107862323011395,0.935546875
multinomial naive-bayes,176130,0.9853804535512836,0.9678030303030303,0.5,0.8235294117647058,0.6222222222222222,0.994,0.9726027397260274,0.983184965380811,0.747,0.8980660757453667,0.8027035938015166
linear svm,176130,0.9537239553355589,0.9867424242424242,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.9883720930232558,0.9980430528375733,0.9931840311587146,0.9525193798449612,0.8225509381834926,0.8759023604069435
knn,176130,0.9014619546448717,0.9696969696969697,0.5185185185185185,0.8235294117647058,0.6363636363636364,0.9940119760479041,0.974559686888454,0.9841897233201581,0.7562652472832113,0.89904454932658,0.8102766798418972
sgd,176130,0.9519972372510648,0.9867424242424242,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.9883720930232558,0.9980430528375733,0.9931840311587146,0.9525193798449612,0.8225509381834926,0.8759023604069435
random forest,176130,0.9487164728905261,0.9810606060606061,0.8888888888888888,0.47058823529411764,0.6153846153846153,0.9826589595375722,0.9980430528375733,0.9902912621359223,0.9357739242132306,0.7343156440658455,0.8028379387602689
gradient boosting,176130,0.9462415103027512,0.9848484848484849,0.7647058823529411,0.7647058823529411,0.7647058823529412,0.9921722113502935,0.9921722113502935,0.9921722113502935,0.8784390468516173,0.8784390468516173,0.8784390468516174
mlp,176130,0.9569471624266145,0.9867424242424242,0.8571428571428571,0.7058823529411765,0.7741935483870968,0.9902723735408561,0.9960861056751468,0.9931707317073171,0.9237076153418566,0.8509842293081616,0.8836821400472069
