model,vocab,auc score,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg
logistic regression,108871,0.970760907102567,0.9867424242424242,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.9883720930232558,0.9980430528375733,0.9931840311587146,0.9525193798449612,0.8225509381834926,0.8759023604069435
bernoulli naive-bayes,108871,0.9701853344077356,0.9848484848484849,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.9941060903732809,0.9902152641878669,0.992156862745098,0.8654740978182194,0.9068723379762864,0.8849673202614379
multinomial naive-bayes,108871,0.9678830436284103,0.9848484848484849,0.7368421052631579,0.8235294117647058,0.7777777777777778,0.9941060903732809,0.9902152641878669,0.992156862745098,0.8654740978182194,0.9068723379762864,0.8849673202614379
linear svm,108871,0.9790491539081385,0.9867424242424242,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.9883720930232558,0.9980430528375733,0.9931840311587146,0.9525193798449612,0.8225509381834926,0.8759023604069435
knn,108871,0.7333371704846323,0.9791666666666666,0.8,0.47058823529411764,0.5925925925925927,0.9826254826254827,0.9960861056751468,0.989310009718173,0.8913127413127413,0.7333371704846322,0.7909513011553828
sgd,108871,0.9790491539081385,0.990530303030303,0.9285714285714286,0.7647058823529411,0.8387096774193549,0.9922178988326849,0.9980430528375733,0.9951219512195121,0.9603946637020567,0.8813744675952573,0.9169158143194335
random forest,108871,0.956716933348682,0.9810606060606061,0.8888888888888888,0.47058823529411764,0.6153846153846153,0.9826589595375722,0.9980430528375733,0.9902912621359223,0.9357739242132306,0.7343156440658455,0.8028379387602689
gradient boosting,108871,0.9688039599401405,0.9886363636363636,0.8666666666666667,0.7647058823529411,0.8125,0.9922027290448343,0.9960861056751468,0.9941406250000001,0.9294346978557505,0.880395994014044,0.9033203125
mlp,108871,0.9083688269828479,0.9848484848484849,0.9090909090909091,0.5882352941176471,0.7142857142857143,0.9864603481624759,0.9980430528375733,0.9922178988326847,0.9477756286266925,0.7931391734776102,0.8532518065591995
