model,vocab,auc score,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg
logistic regression,176130,0.9696097617129043,0.9867424242424242,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.9883720930232558,0.9980430528375733,0.9931840311587146,0.9525193798449612,0.8225509381834926,0.8759023604069435
bernoulli naive-bayes,176130,0.9552204443421204,0.9924242424242424,0.9333333333333333,0.8235294117647058,0.8749999999999999,0.9941520467836257,0.9980430528375733,0.99609375,0.9637426900584796,0.9107862323011395,0.935546875
multinomial naive-bayes,176130,0.9528030390238287,0.9829545454545454,0.7,0.8235294117647058,0.7567567567567567,0.9940944881889764,0.9882583170254403,0.9911678115799805,0.8470472440944882,0.9058938643950731,0.8739622841683685
linear svm,176130,0.9734085414987913,0.9867424242424242,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.9883720930232558,0.9980430528375733,0.9931840311587146,0.9525193798449612,0.8225509381834926,0.8759023604069435
knn,176130,0.7343156440658456,0.9810606060606061,0.8888888888888888,0.47058823529411764,0.6153846153846153,0.9826589595375722,0.9980430528375733,0.9902912621359223,0.9357739242132306,0.7343156440658455,0.8028379387602689
sgd,176130,0.9576378496604121,0.990530303030303,0.875,0.8235294117647058,0.8484848484848485,0.994140625,0.9960861056751468,0.9951124144672531,0.9345703125,0.9098077587199263,0.9217986314760508
random forest,176130,0.9172902037527341,0.9810606060606061,0.8888888888888888,0.47058823529411764,0.6153846153846153,0.9826589595375722,0.9980430528375733,0.9902912621359223,0.9357739242132306,0.7343156440658455,0.8028379387602689
gradient boosting,176130,0.955047772533671,0.9886363636363636,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.9941291585127201,0.9941291585127201,0.9941291585127201,0.908829285138713,0.908829285138713,0.908829285138713
mlp,176130,0.9133187521583976,0.9848484848484849,0.8461538461538461,0.6470588235294118,0.7333333333333334,0.9883495145631068,0.9960861056751468,0.9922027290448343,0.9172516803584765,0.8215724646022793,0.8627680311890839
