model,vocab,auc score,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg
logistic regression,17949,0.9638540347645909,0.9848484848484849,0.8461538461538461,0.6470588235294118,0.7333333333333334,0.9883495145631068,0.9960861056751468,0.9922027290448343,0.9172516803584765,0.8215724646022793,0.8627680311890839
bernoulli naive-bayes,17949,0.9480833429262115,0.9886363636363636,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.9941291585127201,0.9941291585127201,0.9941291585127201,0.908829285138713,0.908829285138713,0.908829285138713
multinomial naive-bayes,17949,0.9464717393806837,0.9791666666666666,0.6363636363636364,0.8235294117647058,0.717948717948718,0.9940711462450593,0.9843444227005871,0.9891838741396264,0.8152173913043479,0.9039369172326465,0.8535662960441721
linear svm,17949,0.9574076205824795,0.9867424242424242,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.9883720930232558,0.9980430528375733,0.9931840311587146,0.9525193798449612,0.8225509381834926,0.8759023604069435
knn,17949,0.7642454241970761,0.9829545454545454,0.9,0.5294117647058824,0.6666666666666667,0.9845559845559846,0.9980430528375733,0.9912536443148688,0.9422779922779922,0.7637274087717278,0.8289601554907677
sgd,17949,0.9532634971796937,0.9886363636363636,0.8666666666666667,0.7647058823529411,0.8125,0.9922027290448343,0.9960861056751468,0.9941406250000001,0.9294346978557505,0.880395994014044,0.9033203125
random forest,17949,0.9374928053413146,0.9867424242424242,0.9166666666666666,0.6470588235294118,0.7586206896551724,0.9883720930232558,0.9980430528375733,0.9931840311587146,0.9525193798449612,0.8225509381834926,0.8759023604069435
gradient boosting,17949,0.9591343386669736,0.9867424242424242,0.7777777777777778,0.8235294117647058,0.7999999999999999,0.9941176470588236,0.9921722113502935,0.9931439764936337,0.8859477124183006,0.9078508115574997,0.8965719882468168
mlp,17949,0.9141245539311615,0.9848484848484849,0.8,0.7058823529411765,0.7500000000000001,0.9902534113060428,0.9941291585127201,0.9921875,0.8951267056530214,0.8500057557269483,0.87109375
