model,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,accuracy_avg,accuracy_std,precision_1,precision_2,precision_3,precision_4,precision_5,precision_avg,precision_std,recall_1,recall_2,recall_3,recall_4,recall_5,recall_avg,recall_std,f1_1,f1_2,f1_3,f1_4,f1_5,f1_avg,f1_std,roc_auc_1,roc_auc_2,roc_auc_3,roc_auc_4,roc_auc_5,roc_auc_avg,roc_auc_std
LogisticRegression,0.9931506849315068,0.9980430528375733,1.0,1.0,0.9951076320939335,0.9972602739726026,0.0027257119916211593,0.9864864864864865,0.9961013645224172,1.0,1.0,0.9903100775193798,0.9945795857056566,0.0053815341332337846,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9931972789115647,0.9980468750000001,1.0,1.0,0.9951314508276533,0.9972751209478437,0.00270812308700403,0.9999540442936417,0.9999731925046244,1.0,1.0,0.9999540442936415,0.9999762562183815,2.0609026538786182e-05
BernoulliNB,0.9716242661448141,0.9931506849315068,0.9921722113502935,0.9853228962818004,0.9863013698630136,0.9857142857142858,0.007694560959427577,0.9564393939393939,0.9921875,0.9883495145631068,0.9881889763779528,0.9825242718446602,0.9815379313450228,0.012922513888458362,0.9882583170254403,0.9941291585127201,0.9960861056751468,0.9823874755381604,0.9902152641878669,0.990215264187867,0.004793522001532647,0.9720885466794995,0.9931573802541545,0.9922027290448343,0.985279685966634,0.9863547758284601,0.9858166235547164,0.007532689516850602,0.9943742556132981,0.998770684854914,0.9986960068320816,0.9993221533312142,0.9942938331271709,0.9970913867517359,0.0022618698087860396
MultinomialNB,0.961839530332681,0.9853228962818004,0.9853228962818004,0.9814090019569471,0.9814090019569471,0.9790606653620353,0.008786670966983814,0.9419475655430711,0.984375,0.9824902723735408,0.9767441860465116,0.974903474903475,0.9720920997733197,0.015474044798803419,0.9843444227005871,0.9863013698630136,0.9882583170254403,0.9863013698630136,0.9882583170254403,0.986692759295499,0.001464445161163975,0.9626794258373206,0.9853372434017595,0.9853658536585366,0.9814995131450827,0.9815354713313897,0.9792835014748178,0.008477266105746454,0.9962852470693663,0.9982804906537582,0.9978171039479781,0.9980085860578046,0.9992072640653183,0.9979197383588451,0.0009463460439396468
LinearSVC,0.9960861056751468,0.9980430528375733,1.0,0.9990215264187867,0.9960861056751468,0.9978473581213307,0.0015655577299412942,0.9922330097087378,0.9961013645224172,1.0,0.998046875,0.9922330097087378,0.9957228517879786,0.0031047173167237994,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.996101364522417,0.9980468750000001,1.0,0.9990224828934506,0.996101364522417,0.9978544173876569,0.0015589310697663582,0.9999846814312139,1.0,1.0,1.0,0.9999540442936417,0.9999877451449711,1.786436753794389e-05
KNeighborsClassifier,0.9774951076320939,0.9774951076320939,0.974559686888454,0.9696673189823874,0.9686888454011742,0.9735812133072408,0.0037642630257673777,0.9569288389513109,0.9692307692307692,0.9619047619047619,0.9545454545454546,0.9410681399631676,0.9567355929190928,0.009307554687597195,1.0,0.9863013698630136,0.9882583170254403,0.9863013698630136,1.0,0.9921722113502934,0.006431184628240718,0.9779904306220095,0.9776915615906885,0.9749034749034748,0.9701636188642926,0.969639468690702,0.9740777109342336,0.0035796449265090187,0.9965743850552043,0.9937270460820845,0.990780136411855,0.9906173766185026,0.9899510188763063,0.9923299926087905,0.0024884231725185594
SGDClassifier,0.9960861056751468,0.9980430528375733,1.0,0.9990215264187867,0.9960861056751468,0.9978473581213307,0.0015655577299412942,0.9922330097087378,0.9961013645224172,1.0,0.998046875,0.9922330097087378,0.9957228517879786,0.0031047173167237994,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.996101364522417,0.9980468750000001,1.0,0.9990224828934506,0.996101364522417,0.9978544173876569,0.0015589310697663582,0.9999080885872833,0.9999387257248555,1.0,1.0,0.9986213288092494,0.9996936286242777,0.0005373303262384844
RandomForestClassifier,0.99706457925636,1.0,1.0,1.0,0.99706457925636,0.998825831702544,0.001438056600459805,0.9941634241245136,1.0,1.0,1.0,0.9941634241245136,0.9976653696498055,0.0028593265479959174,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9970731707317073,1.0,1.0,1.0,0.9970731707317073,0.9988292682926829,0.0014338476543121056,0.9999846814312139,1.0,1.0,1.0,0.9999770221468208,0.9999923407156069,9.68831357161727e-06
GradientBoostingClassifier,0.9941291585127201,0.99706457925636,0.9980430528375733,0.9980430528375733,0.9921722113502935,0.9958904109589041,0.0023483365949119226,0.988394584139265,0.9941634241245136,0.9961013645224172,0.9961013645224172,0.9845857418111753,0.9918692958239577,0.004608852697694538,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9941634241245136,0.9970731707317073,0.9980468750000001,0.9980468750000001,0.992233009708738,0.9959126709129918,0.0023262065645310477,0.9998544735965319,0.9999731925046242,0.9999540442936417,1.0,0.9990847155150294,0.9997732851819654,0.0003477804329479232
MLPClassifier,0.9853228962818004,0.9980430528375733,0.9980430528375733,0.9882583170254403,0.9931506849315068,0.9925636007827789,0.005125558064073875,0.9714828897338403,0.9961013645224172,0.9961013645224172,0.994059405940594,0.9864864864864865,0.9888463022411511,0.009375554723708285,1.0,1.0,1.0,0.9823874755381604,1.0,0.9964774951076322,0.007045009784735834,0.9855351976856317,0.9980468750000001,0.9980468750000001,0.9881889763779527,0.9931972789115647,0.9926030405950298,0.005080593499557411,0.9993183236890176,0.9999234071560694,1.0,0.999862132880925,0.9998391550277458,0.9997886037507516,0.0002416549744308499
