model,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,accuracy_avg,accuracy_std,precision_1,precision_2,precision_3,precision_4,precision_5,precision_avg,precision_std,recall_1,recall_2,recall_3,recall_4,recall_5,recall_avg,recall_std,f1_1,f1_2,f1_3,f1_4,f1_5,f1_avg,f1_std,roc_auc_1,roc_auc_2,roc_auc_3,roc_auc_4,roc_auc_5,roc_auc_avg,roc_auc_std
LogisticRegression,0.9960861056751468,0.9990215264187867,1.0,1.0,0.9960861056751468,0.9982387475538161,0.0017935717005698028,0.9922330097087378,0.998046875,1.0,1.0,0.9922330097087378,0.9965025788834951,0.0035582917616147096,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.996101364522417,0.9990224828934506,1.0,1.0,0.996101364522417,0.998245042387657,0.0017863300793598829,0.9999846814312139,1.0,1.0,1.0,0.9999770221468208,0.9999923407156069,9.68831357161727e-06
BernoulliNB,0.987279843444227,0.9980430528375733,0.9951076320939335,0.99706457925636,0.9931506849315068,0.9941291585127201,0.0038147923071659116,0.9751908396946565,0.9961013645224172,0.9903100775193798,0.9941634241245136,0.9864864864864865,0.9884504384694907,0.0074068508695511156,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9874396135265701,0.9980468750000001,0.9951314508276533,0.9970731707317073,0.9931972789115647,0.9941776777994991,0.003758375750551101,0.9957950528682105,0.9990004633867059,0.9980124157000011,0.9999655332202313,0.9949927428280375,0.9975532416006372,0.0018853023202064572
MultinomialNB,0.9569471624266145,0.9853228962818004,0.9863013698630136,0.987279843444227,0.9863013698630136,0.9804305283757337,0.011757979558355999,0.9207207207207208,0.9714828897338403,0.9733333333333334,0.9751908396946565,0.9733333333333334,0.962812223363177,0.021078390366920677,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9587242026266417,0.9855351976856317,0.9864864864864865,0.9874396135265701,0.9864864864864865,0.9809343973623633,0.011121414824029658,0.9996515025601158,0.9999272367982659,1.0,1.0,0.9988396184144517,0.9996836715545667,0.0004411149388222421
LinearSVC,0.9960861056751468,0.9990215264187867,1.0,1.0,0.9960861056751468,0.9982387475538161,0.0017935717005698028,0.9922330097087378,0.998046875,1.0,1.0,0.9922330097087378,0.9965025788834951,0.0035582917616147096,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.996101364522417,0.9990224828934506,1.0,1.0,0.996101364522417,0.998245042387657,0.0017863300793598829,0.9999846814312139,1.0,1.0,1.0,0.9999770221468208,0.9999923407156069,9.68831357161727e-06
KNeighborsClassifier,0.9549902152641878,0.9686888454011742,0.9755381604696673,0.9774951076320939,0.9735812133072407,0.9700587084148727,0.008082926194936762,0.9174147217235189,0.9527410207939508,0.9637404580152672,0.9692307692307692,0.949814126394052,0.9505882192315116,0.018034637599357466,1.0,0.9863013698630136,0.9882583170254403,0.9863013698630136,1.0,0.9921722113502934,0.006431184628240718,0.9569288389513109,0.9692307692307691,0.9758454106280194,0.9776915615906885,0.9742612011439467,0.9707915563089469,0.007480654255994197,0.9882104464979837,0.9906039728708146,0.9936810903757262,0.9956169745060719,0.9909409813841092,0.991810693126941,0.002575286853415173
SGDClassifier,0.9960861056751468,0.9990215264187867,1.0,1.0,0.9960861056751468,0.9982387475538161,0.0017935717005698028,0.9922330097087378,0.998046875,1.0,1.0,0.9922330097087378,0.9965025788834951,0.0035582917616147096,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.996101364522417,0.9990224828934506,1.0,1.0,0.996101364522417,0.998245042387657,0.0017863300793598829,0.9999846814312139,1.0,1.0,1.0,0.9987553662861278,0.9997480095434683,0.0004963570870536126
RandomForestClassifier,0.9990215264187867,1.0,1.0,1.0,0.99706457925636,0.9992172211350294,0.0011410864764863696,0.998046875,1.0,1.0,1.0,0.9941634241245136,0.9984420598249028,0.002269115566471826,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9990224828934506,1.0,1.0,1.0,0.9970731707317073,0.9992191307250315,0.0011378123866774247,0.9999846814312139,1.0,1.0,1.0,0.9999770221468208,0.9999923407156069,9.68831357161727e-06
GradientBoostingClassifier,0.9902152641878669,0.99706457925636,0.99706457925636,0.9960861056751468,0.9921722113502935,0.9945205479452055,0.002808747572291068,0.980806142034549,0.9941634241245136,0.9941634241245136,0.9922330097087378,0.9845857418111753,0.989190348360698,0.005481205531258637,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9903100775193799,0.9970731707317073,0.9970731707317073,0.996101364522417,0.992233009708738,0.9945581586427898,0.002774331155371045,0.9995059761566476,0.9999731925046242,0.9962814174271698,1.0,0.9980124157000012,0.9987546003576885,0.0014330404428919623
MLPClassifier,0.9784735812133072,0.9990215264187867,1.0,0.9980430528375733,0.9960861056751468,0.9943248532289628,0.008030639737253714,0.9587242026266416,0.998046875,1.0,0.9961013645224172,0.9922330097087378,0.9890210903715593,0.015364565465358637,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.978927203065134,0.9990224828934506,1.0,0.9980468750000001,0.996101364522417,0.9944195850962003,0.007852734730164273,0.9996515025601158,0.9999080885872832,1.0,1.0,0.9998774514497112,0.999887408519422,0.0001276966037744424
