model,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,accuracy_avg,accuracy_std,precision_1,precision_2,precision_3,precision_4,precision_5,precision_avg,precision_std,recall_1,recall_2,recall_3,recall_4,recall_5,recall_avg,recall_std,f1_1,f1_2,f1_3,f1_4,f1_5,f1_avg,f1_std,roc_auc_1,roc_auc_2,roc_auc_3,roc_auc_4,roc_auc_5,roc_auc_avg,roc_auc_std
LogisticRegression,0.9951076320939335,0.9980430528375733,1.0,1.0,0.9951076320939335,0.9976516634050882,0.0021966677417459388,0.9903100775193798,0.9961013645224172,1.0,1.0,0.9903100775193798,0.9953443039122354,0.004349966060552409,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9951314508276533,0.9980468750000001,1.0,1.0,0.9951314508276533,0.9976619553310613,0.00218577103023064,0.9999540442936417,0.9999731925046244,1.0,1.0,0.9999310664404625,0.9999716606477456,2.670883731934259e-05
BernoulliNB,0.9735812133072407,0.9951076320939335,0.9902152641878669,0.9823874755381604,0.9882583170254403,0.9859099804305285,0.007389905122700291,0.9600760456273765,0.996078431372549,0.980806142034549,0.9823874755381604,0.98635477582846,0.981140574080219,0.011795833563907019,0.9882583170254403,0.9941291585127201,1.0,0.9823874755381604,0.9902152641878669,0.9909980430528377,0.005883873337915044,0.973963355834137,0.9951028403525954,0.9903100775193799,0.9823874755381604,0.98828125,0.9860089998488546,0.00727424639460338,0.9945465895121418,0.9988262146667637,0.9993604497531796,0.9996208654225435,0.9944642522049165,0.9973636743119091,0.002347920930779538
MultinomialNB,0.9677103718199609,0.9882583170254403,0.9892367906066536,0.9892367906066536,0.9863013698630136,0.9841487279843444,0.0082887743970831,0.9393382352941176,0.9770554493307839,0.9789272030651341,0.9789272030651341,0.9733333333333334,0.9695162848177006,0.015226649654428976,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9687203791469193,0.988394584139265,0.9893514036786061,0.9893514036786061,0.9864864864864865,0.9844608514259766,0.007939457420971924,0.9989966337445092,0.999820006816763,0.9999004293028902,0.9998927700184972,0.9998161771745666,0.9996852034114452,0.00034608101700243465
LinearSVC,0.9951076320939335,0.9980430528375733,1.0,1.0,0.9951076320939335,0.9976516634050882,0.0021966677417459388,0.9903100775193798,0.9961013645224172,1.0,1.0,0.9903100775193798,0.9953443039122354,0.004349966060552409,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9951314508276533,0.9980468750000001,1.0,1.0,0.9951314508276533,0.9976619553310613,0.00218577103023064,0.999984681431214,1.0,1.0,1.0,0.9999540442936417,0.9999877451449711,1.7864367537940082e-05
KNeighborsClassifier,0.9657534246575342,0.9735812133072407,0.9696673189823874,0.9755381604696673,0.9686888454011742,0.9706457925636007,0.003500693506848998,0.9358974358974359,0.9618320610687023,0.9528301886792453,0.9655172413793104,0.9410681399631676,0.9514290133975724,0.011465098853910498,1.0,0.9863013698630136,0.9882583170254403,0.9863013698630136,1.0,0.9921722113502934,0.006431184628240718,0.9668874172185431,0.9739130434782609,0.9702209414024977,0.9757986447241045,0.969639468690702,0.9712919031028215,0.003176730749166122,0.9904890836049188,0.9916494651904673,0.9955001704190777,0.9955767632630084,0.9889610563685034,0.9924353077691951,0.0026734952976812045
SGDClassifier,0.9951076320939335,0.9980430528375733,1.0,1.0,0.9960861056751468,0.9978473581213307,0.0019957023536566585,0.9903100775193798,0.9961013645224172,1.0,1.0,0.9922330097087378,0.9957288903501069,0.003954951485037697,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9951314508276533,0.9980468750000001,1.0,1.0,0.996101364522417,0.997855938070014,0.0019865457003641392,0.997809444663585,0.9993949165329482,1.0,1.0,0.9988281294878618,0.999206498136879,0.0008233727160080274
RandomForestClassifier,0.9980430528375733,1.0,1.0,1.0,0.9960861056751468,0.998825831702544,0.001565557729941297,0.9961013645224172,1.0,1.0,1.0,0.9922330097087378,0.997666874846231,0.003108315680746732,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9980468750000001,1.0,1.0,1.0,0.996101364522417,0.9988296479044834,0.00155983561411406,0.9999846814312139,1.0,1.0,1.0,0.9999770221468208,0.9999923407156069,9.68831357161727e-06
GradientBoostingClassifier,0.9911937377690803,0.99706457925636,0.9951076320939335,0.9960861056751468,0.9911937377690803,0.9941291585127201,0.0024753641175486157,0.9826923076923076,0.9941634241245136,0.9903100775193798,0.9922330097087378,0.9826923076923076,0.9884182253474494,0.00483138198321096,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9912706110572259,0.9970731707317073,0.9951314508276533,0.996101364522417,0.9912706110572259,0.9941694416392458,0.0024452348694559397,0.9995749097161852,0.9999731925046242,0.9984834616901743,1.0,0.9974532879393078,0.9990969703700584,0.000988912391840971
MLPClassifier,0.9794520547945206,0.9960861056751468,0.99706457925636,0.9960861056751468,0.9941291585127201,0.9925636007827789,0.0066247792093192615,0.9605263157894737,0.9922330097087378,0.9941634241245136,0.9922330097087378,0.988394584139265,0.9855100686941455,0.012631585573715506,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9798657718120806,0.996101364522417,0.9970731707317073,0.996101364522417,0.9941634241245136,0.992661019142627,0.00646706439258127,0.9996591618445089,1.0,0.9999770221468209,1.0,0.9959214310606961,0.9991115230104051,0.0016002791267421196
