model,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,accuracy_avg,accuracy_std,precision_1,precision_2,precision_3,precision_4,precision_5,precision_avg,precision_std,recall_1,recall_2,recall_3,recall_4,recall_5,recall_avg,recall_std,f1_1,f1_2,f1_3,f1_4,f1_5,f1_avg,f1_std,roc_auc_1,roc_auc_2,roc_auc_3,roc_auc_4,roc_auc_5,roc_auc_avg,roc_auc_std
LogisticRegression,0.99706457925636,0.9990215264187867,1.0,1.0,0.9960861056751468,0.9984344422700587,0.001589831390339725,0.9941634241245136,0.998046875,1.0,1.0,0.9922330097087378,0.9968886617666503,0.003156083819830414,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9970731707317073,0.9990224828934506,1.0,1.0,0.996101364522417,0.998439403629515,0.0015839143088276608,0.9999846814312138,1.0,1.0,1.0,0.9999540442936415,0.9999877451449711,1.7864367537989586e-05
BernoulliNB,0.9853228962818004,0.9951076320939335,0.9814090019569471,0.9843444227005871,0.9882583170254403,0.9868884540117417,0.004655724952395446,0.9714828897338403,0.9903100775193798,0.9641509433962264,0.969639468690702,0.9770554493307839,0.9745277657341866,0.008902984997471016,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9855351976856317,0.9951314508276533,0.9817483189241114,0.9845857418111753,0.988394584139265,0.9870790586775673,0.004551671092178603,0.9960401499687885,0.9990215264187866,0.99706457925636,0.9990215264187867,0.9941291585127201,0.9970553881150884,0.0018614517084843097
MultinomialNB,0.9628180039138943,0.9853228962818004,0.9863013698630136,0.9833659491193738,0.9774951076320939,0.9790606653620353,0.008677025157493305,0.930783242258652,0.9714828897338403,0.9733333333333334,0.9678030303030303,0.9569288389513109,0.9600662669160334,0.01570701004590066,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9641509433962263,0.9855351976856317,0.9864864864864865,0.983638113570741,0.9779904306220095,0.979560234352219,0.008248791255714294,0.9998736218075146,0.9999885110734105,1.0,1.0,0.9996438432757228,0.9999011952313296,0.00013721453542381225
LinearSVC,0.9960861056751468,0.9990215264187867,1.0,1.0,0.9960861056751468,0.9982387475538161,0.0017935717005698028,0.9922330097087378,0.998046875,1.0,1.0,0.9922330097087378,0.9965025788834951,0.0035582917616147096,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.996101364522417,0.9990224828934506,1.0,1.0,0.996101364522417,0.998245042387657,0.0017863300793598829,0.9999846814312138,1.0,1.0,1.0,0.9999540442936417,0.9999877451449711,1.7864367537947695e-05
KNeighborsClassifier,0.9686888454011742,0.9765166340508806,0.9784735812133072,0.9755381604696673,0.974559686888454,0.9747553816046967,0.0032979059777598165,0.9410681399631676,0.9673704414587332,0.9692898272552783,0.9655172413793104,0.9515828677839852,0.9589657035680949,0.010908518174508655,1.0,0.9863013698630136,0.9882583170254403,0.9863013698630136,1.0,0.9921722113502934,0.006431184628240718,0.969639468690702,0.9767441860465116,0.9786821705426357,0.9757986447241045,0.9751908396946565,0.9752110619397222,0.0030261321273290062,0.996283332248268,0.9937136423343967,0.9957414378774592,0.9946385009248585,0.993910868907518,0.9948575564585003,0.0010066603334587209
SGDClassifier,0.9960861056751468,0.9990215264187867,1.0,1.0,0.9960861056751468,0.9982387475538161,0.0017935717005698028,0.9922330097087378,0.998046875,1.0,1.0,0.9922330097087378,0.9965025788834951,0.0035582917616147096,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.996101364522417,0.9990224828934506,1.0,1.0,0.996101364522417,0.998245042387657,0.0017863300793598829,0.9967065077109845,0.9988013219924863,1.0,1.0,0.9958907939231237,0.9982797247253188,0.001695450376881785
RandomForestClassifier,0.9980430528375733,1.0,1.0,1.0,0.99706457925636,0.9990215264187867,0.0012376820587743343,0.9961013645224172,1.0,1.0,1.0,0.9941634241245136,0.9980529577293862,0.002462117321314786,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9980468750000001,1.0,1.0,1.0,0.9970731707317073,0.9990240091463415,0.0012343610573275455,0.9999846814312139,1.0,1.0,1.0,0.9999770221468208,0.9999923407156069,9.68831357161727e-06
GradientBoostingClassifier,0.9960861056751468,0.99706457925636,0.9980430528375733,1.0,0.9941291585127201,0.9970645792563599,0.0019569471624266256,0.9922330097087378,0.9941634241245136,0.9961013645224172,1.0,0.988394584139265,0.9941784764989867,0.003868490988959092,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.996101364522417,0.9970731707317073,0.9980468750000001,1.0,0.9941634241245136,0.9970769668757276,0.0019455276991484558,0.999862132880925,1.0,0.9999770221468209,1.0,0.99981234753237,0.9999303005120233,7.804957366345708e-05
MLPClassifier,0.9960861056751468,0.9990215264187867,0.9990215264187867,1.0,0.9951076320939335,0.9978473581213307,0.0018973306682647068,0.9922330097087378,0.998046875,0.998046875,1.0,0.9903100775193798,0.9957273674456235,0.003756945186521916,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.996101364522417,0.9990224828934506,0.9990224828934506,1.0,0.9951314508276533,0.9978555562273943,0.0018878566443712363,0.9997625621838152,1.0,1.0,1.0,0.9932138740277496,0.9985952872423131,0.002692277577433726
