model,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,accuracy_avg,accuracy_std,precision_1,precision_2,precision_3,precision_4,precision_5,precision_avg,precision_std,recall_1,recall_2,recall_3,recall_4,recall_5,recall_avg,recall_std,f1_1,f1_2,f1_3,f1_4,f1_5,f1_avg,f1_std,roc_auc_1,roc_auc_2,roc_auc_3,roc_auc_4,roc_auc_5,roc_auc_avg,roc_auc_std
LogisticRegression,0.99706457925636,0.9990215264187867,1.0,1.0,0.9951076320939335,0.9982387475538161,0.0018973306682647044,0.9941634241245136,0.998046875,1.0,1.0,0.9903100775193798,0.9965040753287788,0.003759453852944429,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9970731707317073,0.9990224828934506,1.0,1.0,0.9951314508276533,0.9982454208905622,0.0018884862216342585,0.9999846814312139,1.0,1.0,1.0,0.9999310664404624,0.9999831495743352,2.6708837319385254e-05
BernoulliNB,0.9921722113502935,0.9990215264187867,0.9951076320939335,0.9990215264187867,0.9941291585127201,0.9958904109589041,0.0027257119916211767,0.9845857418111753,0.998046875,0.9903100775193798,0.998046875,0.988394584139265,0.991876830693964,0.0053643196614557255,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.992233009708738,0.9990224828934506,0.9951314508276533,0.9990224828934506,0.9941634241245136,0.9959145700895611,0.002703772135372384,0.9959712164092509,0.9990157819554919,0.9990023782078041,0.9999655332202312,0.9950406133554941,0.9977991046296545,0.0019272796015657536
MultinomialNB,0.9804305283757339,0.9951076320939335,0.9941291585127201,0.9941291585127201,0.9921722113502935,0.9911937377690803,0.005465455985819538,0.9623352165725048,0.9903100775193798,0.988394584139265,0.988394584139265,0.9845857418111753,0.9828040408363179,0.010401885988977162,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.980806142034549,0.9951314508276533,0.9941634241245136,0.9941634241245136,0.992233009708738,0.9912994901639933,0.005330477871531111,0.9960171721156093,0.9990157819554919,0.9980277342687873,0.9999655332202311,0.9950597615664769,0.9976171966253193,0.0018297442093008066
LinearSVC,0.99706457925636,0.9990215264187867,1.0,1.0,0.9951076320939335,0.9982387475538161,0.0018973306682647044,0.9941634241245136,0.998046875,1.0,1.0,0.9903100775193798,0.9965040753287788,0.003759453852944429,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9970731707317073,0.9990224828934506,1.0,1.0,0.9951314508276533,0.9982454208905622,0.0018884862216342585,0.9999846814312139,0.9999731925046242,1.0,1.0,0.9999310664404624,0.9999777880752602,2.5449117804942908e-05
KNeighborsClassifier,0.99706457925636,0.9990215264187867,1.0,1.0,0.9960861056751468,0.9984344422700587,0.001589831390339725,0.9941634241245136,0.998046875,1.0,1.0,0.9922330097087378,0.9968886617666503,0.003156083819830414,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9970731707317073,0.9990224828934506,1.0,1.0,0.996101364522417,0.998439403629515,0.0015839143088276608,0.9989755707124283,1.0,1.0,1.0,0.9960861056751468,0.999012335277515,0.001515956208546029
SGDClassifier,0.9960861056751468,0.9990215264187867,1.0,1.0,0.9941291585127201,0.9978473581213307,0.0023483365949119577,0.9922330097087378,0.998046875,1.0,1.0,0.988394584139265,0.9957348937696006,0.004644800468649338,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.996101364522417,0.9990224828934506,1.0,1.0,0.9941634241245136,0.9978574543080763,0.002335294671816373,0.9994255536705206,0.9999119182294798,1.0,1.0,0.9920190256624323,0.9982712995124865,0.0031334221382704973
RandomForestClassifier,0.99706457925636,0.9990215264187867,1.0,1.0,0.9960861056751468,0.9984344422700587,0.001589831390339725,0.9941634241245136,0.998046875,1.0,1.0,0.9922330097087378,0.9968886617666503,0.003156083819830414,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9970731707317073,0.9990224828934506,1.0,1.0,0.996101364522417,0.998439403629515,0.0015839143088276608,0.9999846814312139,0.9999865962523122,1.0,1.0,0.9999770221468208,0.9999896599660694,9.030163121726872e-06
GradientBoostingClassifier,0.987279843444227,0.9960861056751468,0.99706457925636,0.987279843444227,0.9892367906066536,0.991389432485323,0.0043052837573385365,0.9751908396946565,0.9922330097087378,0.9941634241245136,0.9751908396946565,0.9789272030651341,0.9831410632575398,0.008346552060270643,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9874396135265701,0.996101364522417,0.9970731707317073,0.9874396135265701,0.9893514036786061,0.9914810331971742,0.0042384179018686505,0.999414064743931,0.9999291516193642,0.995986534978037,1.0,0.9979970971312151,0.9986653696945094,0.0015206360997938847
MLPClassifier,0.9921722113502935,0.9990215264187867,1.0,1.0,0.9951076320939335,0.9972602739726029,0.0031188605578295935,0.9845857418111753,0.998046875,1.0,1.0,0.9903100775193798,0.9945885388661111,0.006146366283257899,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.992233009708738,0.9990224828934506,1.0,1.0,0.9951314508276533,0.9972773886859685,0.0030958484163553044,0.9991957751387288,0.9998161771745665,1.0,1.0,0.9995825690005783,0.9997189042627748,0.0003032302855864183
