model,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,accuracy_avg,accuracy_std,precision_1,precision_2,precision_3,precision_4,precision_5,precision_avg,precision_std,recall_1,recall_2,recall_3,recall_4,recall_5,recall_avg,recall_std,f1_1,f1_2,f1_3,f1_4,f1_5,f1_avg,f1_std,roc_auc_1,roc_auc_2,roc_auc_3,roc_auc_4,roc_auc_5,roc_auc_avg,roc_auc_std
LogisticRegression,0.99706457925636,0.9990215264187867,0.9980430528375733,1.0,0.9951076320939335,0.9978473581213307,0.0016834296021609797,0.9941634241245136,0.998046875,0.9961013645224172,1.0,0.9903100775193798,0.9957243482332622,0.0033337150847481435,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9970731707317073,0.9990224828934506,0.9980468750000001,1.0,0.9951314508276533,0.9978547958905623,0.0016751020394454202,0.9999846814312139,1.0,1.0,1.0,0.9999119182294798,0.9999793199321388,3.421909061883058e-05
BernoulliNB,0.9804305283757339,0.9941291585127201,0.9911937377690803,0.9892367906066536,0.9892367906066536,0.9888454011741683,0.004572728550116593,0.9623352165725048,0.988394584139265,0.9826923076923076,0.9789272030651341,0.9789272030651341,0.978255302906869,0.008681521570722344,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.980806142034549,0.9941634241245136,0.9912706110572259,0.9893514036786061,0.9893514036786061,0.9889885969147001,0.004454262016534173,0.9959252607028926,0.9990157819554919,0.9970530903297704,0.9990042930289024,0.9940525656687896,0.9970101983371693,0.0018934254505550464
MultinomialNB,0.9794520547945206,0.9941291585127201,0.9941291585127201,0.9951076320939335,0.9902152641878669,0.9906066536203524,0.005825000417274821,0.9605263157894737,0.988394584139265,0.988394584139265,0.9903100775193798,0.980806142034549,0.9816863407243865,0.01107150667899872,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9798657718120806,0.9941634241245136,0.9941634241245136,0.9951314508276533,0.9903100775193799,0.9907268296816282,0.005677275941508479,0.9959712164092509,0.9990157819554919,0.9970530903297705,0.9990042930289024,0.9940717138797722,0.9970232191206376,0.001882229829835127
LinearSVC,0.9960861056751468,0.9990215264187867,1.0,1.0,0.9951076320939335,0.9980430528375734,0.0020524634993544988,0.9922330097087378,0.998046875,1.0,1.0,0.9903100775193798,0.9961179924456236,0.004066583821082114,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.996101364522417,0.9990224828934506,1.0,1.0,0.9951314508276533,0.9980510596487042,0.0020428326832943396,0.9999846814312139,0.9999731925046244,1.0,1.0,0.9999540442936417,0.999982383645896,1.7398549625031745e-05
KNeighborsClassifier,0.9960861056751468,0.9990215264187867,1.0,0.9990215264187867,0.9951076320939335,0.9978473581213307,0.0018973306682647068,0.9922330097087378,0.998046875,1.0,0.998046875,0.9903100775193798,0.9957273674456235,0.003756945186521916,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.996101364522417,0.9990224828934506,1.0,0.9990224828934506,0.9951314508276533,0.9978555562273943,0.0018878566443712363,0.99706457925636,0.9990215264187867,1.0,0.9990215264187867,0.9951076320939335,0.9980430528375734,0.001750346753424493
SGDClassifier,0.9951076320939335,0.9990215264187867,0.9941291585127201,1.0,0.9941291585127201,0.9964774951076322,0.002521350044368932,0.9903100775193798,0.998046875,1.0,1.0,0.988394584139265,0.9953503073317289,0.004985915416446338,1.0,1.0,0.9882583170254403,1.0,1.0,0.9976516634050882,0.004696673189823875,0.9951314508276533,0.9990224828934506,0.9940944881889764,1.0,0.9941634241245136,0.9964823692069189,0.0025191413797338766,0.9942057513566507,0.9980430528375733,0.9882583170254402,1.0,0.991923284607519,0.9944860811654367,0.004206825538881533
RandomForestClassifier,0.99706457925636,0.9990215264187867,1.0,1.0,0.9960861056751468,0.9984344422700587,0.001589831390339725,0.9941634241245136,0.998046875,1.0,1.0,0.9922330097087378,0.9968886617666503,0.003156083819830414,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9970731707317073,0.9990224828934506,1.0,1.0,0.996101364522417,0.998439403629515,0.0015839143088276608,0.9999846814312139,0.9999865962523121,1.0,1.0,0.9999770221468209,0.9999896599660694,9.03016312170333e-06
GradientBoostingClassifier,0.9902152641878669,0.9980430528375733,0.99706457925636,1.0,0.9931506849315068,0.9956947162426614,0.0035333600949643534,0.980806142034549,0.9961013645224172,0.9941634241245136,1.0,0.9864864864864865,0.9915114834335933,0.006928342372088549,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9903100775193799,0.9980468750000001,0.9970731707317073,1.0,0.9931972789115647,0.9957254804325304,0.0034984296778819376,0.9998736218075146,0.9999865962523121,1.0,1.0,0.997997097131215,0.9995714630382084,0.0007886128798931804
MLPClassifier,0.9960861056751468,0.9990215264187867,1.0,1.0,0.9941291585127201,0.9978473581213307,0.0023483365949119577,0.9922330097087378,0.998046875,1.0,1.0,0.988394584139265,0.9957348937696006,0.004644800468649338,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.996101364522417,0.9990224828934506,1.0,1.0,0.9941634241245136,0.9978574543080763,0.002335294671816373,0.9995098057988442,1.0,1.0,1.0,0.9965762998763026,0.9992172211350294,0.001334038915071732
