model,vocab,auc score,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg
logistic regression,165975,0.9966478696741855,0.9748110831234257,0.9910714285714286,0.9736842105263158,0.9823008849557523,0.9358974358974359,0.9776785714285714,0.9563318777292577,0.9634844322344323,0.9756813909774436,0.969316381342505
bernoulli naive-bayes,165975,0.6941964285714285,0.8148614609571788,0.7949790794979079,1.0,0.8857808857808858,1.0,0.34375,0.5116279069767442,0.897489539748954,0.671875,0.698704396378815
multinomial naive-bayes,165975,0.9981359649122807,0.982367758186398,0.9929078014184397,0.9824561403508771,0.9876543209876543,0.9565217391304348,0.9821428571428571,0.9691629955947136,0.9747147702744372,0.9822994987468672,0.978408658291184
linear svm,165975,0.9955043859649123,0.9899244332493703,0.9929824561403509,0.9929824561403509,0.9929824561403509,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.987562656641604,0.987562656641604,0.987562656641604
knn,165975,0.9803571428571429,0.9735516372795969,0.975736568457539,0.987719298245614,0.9816913687881429,0.967741935483871,0.9375,0.9523809523809523,0.971739251970705,0.962609649122807,0.9670361605845477
sgd,165975,0.9950736215538847,0.9899244332493703,0.9912587412587412,0.9947368421052631,0.9929947460595446,0.9864864864864865,0.9776785714285714,0.9820627802690582,0.9888726138726138,0.9862077067669173,0.9875287631643015
random forest,165975,0.9964285714285714,0.9861460957178841,0.989492119089317,0.9912280701754386,0.9903593339176161,0.9775784753363229,0.9732142857142857,0.9753914988814317,0.98353529721282,0.9822211779448622,0.9828754163995239
gradient boosting,165975,0.9910557644110276,0.9634760705289672,0.9753954305799648,0.9736842105263158,0.9745390693590869,0.9333333333333333,0.9375,0.9354120267260579,0.9543643819566491,0.955592105263158,0.9549755480425723
mlp,165975,0.9982064536340852,0.9911838790931989,0.9947275922671354,0.9929824561403509,0.9938542581211589,0.9822222222222222,0.9866071428571429,0.9844097995545658,0.9884749072446788,0.9897947994987468,0.9891320288378623
