model,vocab,auc score,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg
logistic regression,18539,0.996875,0.9861460957178841,0.9844020797227037,0.9964912280701754,0.990409764603313,0.9907834101382489,0.9598214285714286,0.9750566893424036,0.9875927449304762,0.978156328320802,0.9827332269728584
bernoulli naive-bayes,18539,0.9578399122807019,0.8879093198992444,0.869431643625192,0.9929824561403509,0.9271089271089271,0.972027972027972,0.6205357142857143,0.7574931880108992,0.920729807826582,0.8067590852130326,0.8423010575599131
multinomial naive-bayes,18539,0.996342418546366,0.9697732997481109,0.9595959595959596,1.0,0.979381443298969,1.0,0.8928571428571429,0.9433962264150945,0.9797979797979798,0.9464285714285714,0.9613888348570317
linear svm,18539,0.9984335839598998,0.9886649874055415,0.9895287958115183,0.9947368421052631,0.9921259842519685,0.9864253393665159,0.9732142857142857,0.9797752808988764,0.9879770675890172,0.9839755639097745,0.9859506325754225
knn,18539,0.9905740914786968,0.9773299748110831,0.9791666666666666,0.9894736842105263,0.9842931937172775,0.9724770642201835,0.9464285714285714,0.9592760180995474,0.9758218654434251,0.9679511278195488,0.9717846059084125
sgd,18539,0.9984962406015038,0.9874055415617129,0.9895104895104895,0.9929824561403509,0.9912434325744307,0.9819819819819819,0.9732142857142857,0.9775784753363228,0.9857462357462357,0.9830983709273182,0.9844109539553767
random forest,18539,0.9971882832080201,0.9836272040302267,0.9826689774696707,0.9947368421052631,0.9886660854402791,0.9861751152073732,0.9553571428571429,0.9705215419501135,0.984422046338522,0.9750469924812031,0.9795938136951963
gradient boosting,18539,0.9944744674185464,0.9722921914357683,0.9756944444444444,0.9859649122807017,0.9808027923211169,0.963302752293578,0.9375,0.9502262443438915,0.9694985983690112,0.9617324561403509,0.9655145183325042
mlp,18539,0.9976503759398496,0.9874055415617129,0.9844290657439446,0.9982456140350877,0.9912891986062716,0.9953703703703703,0.9598214285714286,0.9772727272727272,0.9898997180571575,0.9790335213032582,0.9842809629394994
