model,vocab,auc score,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg
logistic regression,165975,0.9976660401002506,0.9836272040302267,0.9911816578483245,0.9859649122807017,0.988566402814424,0.9647577092511013,0.9776785714285714,0.9711751662971174,0.9779696835497129,0.9818217418546366,0.9798707845557707
bernoulli naive-bayes,165975,0.6941964285714285,0.8148614609571788,0.7949790794979079,1.0,0.8857808857808858,1.0,0.34375,0.5116279069767442,0.897489539748954,0.671875,0.698704396378815
multinomial naive-bayes,165975,0.9962680137844611,0.9911838790931989,0.9929947460595446,0.9947368421052631,0.9938650306748467,0.9865470852017937,0.9821428571428571,0.9843400447427293,0.9897709156306691,0.9884398496240601,0.989102537708788
linear svm,165975,0.9969298245614034,0.9848866498740554,0.9894736842105263,0.9894736842105263,0.9894736842105263,0.9732142857142857,0.9732142857142857,0.9732142857142857,0.9813439849624059,0.9813439849624059,0.9813439849624059
knn,165975,0.9600838032581454,0.8942065491183879,0.9764705882352941,0.8736842105263158,0.9222222222222223,0.7464788732394366,0.9464285714285714,0.8346456692913385,0.8614747307373654,0.9100563909774436,0.8784339457567805
sgd,165975,0.9978148496240602,0.9874055415617129,0.9929577464788732,0.9894736842105263,0.9912126537785588,0.9734513274336283,0.9821428571428571,0.9777777777777777,0.9832045369562508,0.9858082706766917,0.9844952157781683
random forest,165975,0.9971804511278195,0.9785894206549118,0.9946332737030411,0.9754385964912281,0.9849424269264837,0.9404255319148936,0.9866071428571429,0.962962962962963,0.9675294028089674,0.9810228696741855,0.9739526949447234
gradient boosting,165975,0.9921013471177945,0.9622166246851386,0.9873646209386282,0.9596491228070175,0.9733096085409254,0.9041666666666667,0.96875,0.9353448275862069,0.9457656438026474,0.9641995614035088,0.9543272180635661
mlp,165975,0.9975877192982456,0.9886649874055415,0.9912434325744308,0.9929824561403509,0.9921121822962313,0.9820627802690582,0.9776785714285714,0.9798657718120806,0.9866531064217445,0.9853305137844611,0.9859889770541559
