model,vocab,auc score,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg
logistic regression,17835,0.9971177944862155,0.9886649874055415,0.9929701230228472,0.9912280701754386,0.9920983318700615,0.9777777777777777,0.9821428571428571,0.9799554565701558,0.9853739504003125,0.9866854636591478,0.9860268942201087
bernoulli naive-bayes,17835,0.9837327694235589,0.9030226700251889,0.8857589984350548,0.9929824561403509,0.9363110008271299,0.9741935483870968,0.6741071428571429,0.7968337730870714,0.9299762734110758,0.8335447994987468,0.8665723869571007
multinomial naive-bayes,17835,0.9967575187969926,0.982367758186398,0.991166077738516,0.9842105263157894,0.9876760563380281,0.9605263157894737,0.9776785714285714,0.9690265486725664,0.9758461967639949,0.9809445488721804,0.9783513025052972
linear svm,17835,0.9952929197994989,0.9848866498740554,0.9894736842105263,0.9894736842105263,0.9894736842105263,0.9732142857142857,0.9732142857142857,0.9732142857142857,0.9813439849624059,0.9813439849624059,0.9813439849624059
knn,17835,0.9616384711779448,0.9193954659949622,0.9438596491228071,0.9438596491228071,0.9438596491228071,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.900501253132832,0.900501253132832,0.900501253132832
sgd,17835,0.996890664160401,0.982367758186398,0.9894366197183099,0.9859649122807017,0.9876977152899824,0.9646017699115044,0.9732142857142857,0.9688888888888889,0.9770191948149072,0.9795895989974936,0.9782933020894357
random forest,17835,0.9971804511278196,0.9861460957178841,0.989492119089317,0.9912280701754386,0.9903593339176161,0.9775784753363229,0.9732142857142857,0.9753914988814317,0.98353529721282,0.9822211779448622,0.9828754163995239
gradient boosting,17835,0.9923637218045113,0.9672544080604534,0.9874551971326165,0.9666666666666667,0.9769503546099292,0.9194915254237288,0.96875,0.9434782608695652,0.9534733612781727,0.9677083333333334,0.9602143077397471
mlp,17835,0.9986685463659147,0.9886649874055415,0.9912434325744308,0.9929824561403509,0.9921121822962313,0.9820627802690582,0.9776785714285714,0.9798657718120806,0.9866531064217445,0.9853305137844611,0.9859889770541559
