model,vocab,auc score,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg
logistic regression,500,0.9955905388471178,0.9848866498740554,0.9894736842105263,0.9894736842105263,0.9894736842105263,0.9732142857142857,0.9732142857142857,0.9732142857142857,0.9813439849624059,0.9813439849624059,0.9813439849624059
bernoulli naive-bayes,500,0.978140664160401,0.9382871536523929,0.9727767695099818,0.9403508771929825,0.9562890276538805,0.8600823045267489,0.9330357142857143,0.8950749464668093,0.9164295370183654,0.9366932957393483,0.9256819870603449
multinomial naive-bayes,500,0.987891604010025,0.9546599496221663,0.9908088235294118,0.9456140350877194,0.9676840215439857,0.876,0.9776785714285714,0.9240506329113923,0.9334044117647059,0.9616463032581454,0.945867327227689
linear svm,500,0.9925360275689223,0.9798488664987406,0.9792387543252595,0.9929824561403509,0.9860627177700347,0.9814814814814815,0.9464285714285714,0.9636363636363636,0.9803601179033705,0.9697055137844611,0.9748495407031992
knn,500,0.9766329887218046,0.9193954659949622,0.9791666666666666,0.9070175438596492,0.941712204007286,0.8007518796992481,0.9508928571428571,0.8693877551020408,0.8899592731829573,0.9289552005012531,0.9055499795546633
sgd,500,0.9940711152882206,0.9773299748110831,0.9791666666666666,0.9894736842105263,0.9842931937172775,0.9724770642201835,0.9464285714285714,0.9592760180995474,0.9758218654434251,0.9679511278195488,0.9717846059084125
random forest,500,0.9958803258145363,0.9697732997481109,0.9840425531914894,0.9736842105263158,0.9788359788359788,0.9347826086956522,0.9598214285714286,0.9471365638766521,0.9594125809435707,0.9667528195488722,0.9629862713563155
gradient boosting,500,0.9959743107769423,0.9710327455919395,0.9875222816399287,0.9719298245614035,0.9796640141467727,0.9313304721030042,0.96875,0.949671772428884,0.9594263768714665,0.9703399122807017,0.9646678932878283
mlp,500,0.9957158521303258,0.982367758186398,0.987719298245614,0.987719298245614,0.987719298245614,0.96875,0.96875,0.96875,0.978234649122807,0.978234649122807,0.978234649122807
