model,vocab,auc score,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg
logistic regression,18539,0.9973057644110276,0.9811083123425692,0.9928952042628775,0.980701754385965,0.9867608120035305,0.9523809523809523,0.9821428571428571,0.967032967032967,0.9726380783219148,0.981422305764411,0.9768968895182488
bernoulli naive-bayes,18539,0.9761199874686717,0.9030226700251889,0.8881889763779528,0.9894736842105263,0.9360995850622408,0.9622641509433962,0.6830357142857143,0.7989556135770235,0.9252265636606745,0.8362546992481203,0.8675275993196321
multinomial naive-bayes,18539,0.9967888471177945,0.9836272040302267,0.9894551845342706,0.987719298245614,0.9885864793678665,0.9688888888888889,0.9732142857142857,0.9710467706013364,0.9791720367115797,0.9804667919799499,0.9798166249846014
linear svm,18539,0.9984257518796992,0.9874055415617129,0.9895104895104895,0.9929824561403509,0.9912434325744307,0.9819819819819819,0.9732142857142857,0.9775784753363228,0.9857462357462357,0.9830983709273182,0.9844109539553767
knn,18539,0.9893953634085213,0.9697732997481109,0.9823321554770318,0.9754385964912281,0.9788732394366197,0.9385964912280702,0.9553571428571429,0.9469026548672567,0.9604643233525509,0.9653978696741855,0.9628879471519383
sgd,18539,0.9983082706766917,0.9886649874055415,0.9912434325744308,0.9929824561403509,0.9921121822962313,0.9820627802690582,0.9776785714285714,0.9798657718120806,0.9866531064217445,0.9853305137844611,0.9859889770541559
random forest,18539,0.9976112155388471,0.9861460957178841,0.9912126537785588,0.9894736842105263,0.990342405618964,0.9733333333333334,0.9776785714285714,0.9755011135857461,0.9822729935559461,0.9835761278195488,0.9829217596023551
gradient boosting,18539,0.9945645363408522,0.9685138539042821,0.9857397504456328,0.9701754385964912,0.9778956675508399,0.927038626609442,0.9642857142857143,0.9452954048140044,0.9563891885275374,0.9672305764411028,0.9615955361824222
mlp,18539,0.9982926065162907,0.9911838790931989,0.9912739965095986,0.9964912280701754,0.9938757655293089,0.9909502262443439,0.9776785714285714,0.9842696629213483,0.9911121113769712,0.9870848997493734,0.9890727142253286
