model,vocab,auc score,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg
logistic regression,17835,0.9964285714285714,0.9735516372795969,0.992818671454219,0.9701754385964912,0.9813664596273292,0.9282700421940928,0.9821428571428571,0.9544468546637744,0.9605443568241558,0.9761591478696742,0.9679066571455518
bernoulli naive-bayes,17835,0.9837327694235589,0.9030226700251889,0.8857589984350548,0.9929824561403509,0.9363110008271299,0.9741935483870968,0.6741071428571429,0.7968337730870714,0.9299762734110758,0.8335447994987468,0.8665723869571007
multinomial naive-bayes,17835,0.99640507518797,0.9811083123425692,0.9894179894179894,0.9842105263157894,0.9868073878627968,0.960352422907489,0.9732142857142857,0.966740576496674,0.9748852061627392,0.9787124060150376,0.9767739821797354
linear svm,17835,0.996640037593985,0.9848866498740554,0.9911971830985915,0.987719298245614,0.9894551845342705,0.9690265486725663,0.9776785714285714,0.9733333333333334,0.980111865885579,0.9826989348370927,0.9813942589338019
knn,17835,0.9791353383458646,0.9659949622166247,0.9641025641025641,0.9894736842105263,0.9766233766233765,0.9712918660287081,0.90625,0.9376443418013856,0.9676972150656361,0.9478618421052631,0.957133859212381
sgd,17835,0.9961309523809524,0.9886649874055415,0.9912434325744308,0.9929824561403509,0.9921121822962313,0.9820627802690582,0.9776785714285714,0.9798657718120806,0.9866531064217445,0.9853305137844611,0.9859889770541559
random forest,17835,0.9972861842105262,0.982367758186398,0.987719298245614,0.987719298245614,0.987719298245614,0.96875,0.96875,0.96875,0.978234649122807,0.978234649122807,0.978234649122807
gradient boosting,17835,0.9916744987468672,0.9672544080604534,0.980565371024735,0.9736842105263158,0.977112676056338,0.9342105263157895,0.9508928571428571,0.9424778761061946,0.9573879486702622,0.9622885338345865,0.9597952760812662
mlp,17835,0.9979793233082707,0.9886649874055415,0.9929701230228472,0.9912280701754386,0.9920983318700615,0.9777777777777777,0.9821428571428571,0.9799554565701558,0.9853739504003125,0.9866854636591478,0.9860268942201087
