model,vocab,auc score,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg
logistic regression,17835,0.9971177944862155,0.9886649874055415,0.9929701230228472,0.9912280701754386,0.9920983318700615,0.9777777777777777,0.9821428571428571,0.9799554565701558,0.9853739504003125,0.9866854636591478,0.9860268942201087
bernoulli naive-bayes,17835,0.9837327694235589,0.9030226700251889,0.8857589984350548,0.9929824561403509,0.9363110008271299,0.9741935483870968,0.6741071428571429,0.7968337730870714,0.9299762734110758,0.8335447994987468,0.8665723869571007
multinomial naive-bayes,17835,0.9967575187969926,0.982367758186398,0.991166077738516,0.9842105263157894,0.9876760563380281,0.9605263157894737,0.9776785714285714,0.9690265486725664,0.9758461967639949,0.9809445488721804,0.9783513025052972
linear svm,17835,0.9952929197994989,0.9848866498740554,0.9894736842105263,0.9894736842105263,0.9894736842105263,0.9732142857142857,0.9732142857142857,0.9732142857142857,0.9813439849624059,0.9813439849624059,0.9813439849624059
knn,17835,0.9616384711779448,0.9193954659949622,0.9438596491228071,0.9438596491228071,0.9438596491228071,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.900501253132832,0.900501253132832,0.900501253132832
sgd,17835,0.996655701754386,0.9861460957178841,0.9912126537785588,0.9894736842105263,0.990342405618964,0.9733333333333334,0.9776785714285714,0.9755011135857461,0.9822729935559461,0.9835761278195488,0.9829217596023551
random forest,17835,0.996749686716792,0.9848866498740554,0.9894736842105263,0.9894736842105263,0.9894736842105263,0.9732142857142857,0.9732142857142857,0.9732142857142857,0.9813439849624059,0.9813439849624059,0.9813439849624059
gradient boosting,17835,0.9923558897243109,0.9659949622166247,0.9874326750448833,0.9649122807017544,0.9760425909494232,0.9156118143459916,0.96875,0.9414316702819957,0.9515222446954374,0.9668311403508771,0.9587371306157095
mlp,17835,0.9986293859649122,0.9848866498740554,0.9911971830985915,0.987719298245614,0.9894551845342705,0.9690265486725663,0.9776785714285714,0.9733333333333334,0.980111865885579,0.9826989348370927,0.9813942589338019
