model,vocab,auc score,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg
logistic regression,85824,0.9975955513784461,0.9874055415617129,0.9929577464788732,0.9894736842105263,0.9912126537785588,0.9734513274336283,0.9821428571428571,0.9777777777777777,0.9832045369562508,0.9858082706766917,0.9844952157781683
bernoulli naive-bayes,85824,0.7915961779448621,0.8400503778337531,0.8177905308464849,1.0,0.899763220205209,1.0,0.4330357142857143,0.6043613707165109,0.9088952654232425,0.7165178571428572,0.75206229546086
multinomial naive-bayes,85824,0.9959782268170427,0.9886649874055415,0.9929701230228472,0.9912280701754386,0.9920983318700615,0.9777777777777777,0.9821428571428571,0.9799554565701558,0.9853739504003125,0.9866854636591478,0.9860268942201087
linear svm,85824,0.9961074561403509,0.9861460957178841,0.9912126537785588,0.9894736842105263,0.990342405618964,0.9733333333333334,0.9776785714285714,0.9755011135857461,0.9822729935559461,0.9835761278195488,0.9829217596023551
knn,85824,0.9613330200501253,0.9042821158690176,0.960820895522388,0.9035087719298246,0.9312839059674503,0.7868217054263565,0.90625,0.842323651452282,0.8738213004743722,0.9048793859649122,0.8868037787098662
sgd,85824,0.9980889724310776,0.9886649874055415,0.9947089947089947,0.9894736842105263,0.992084432717678,0.973568281938326,0.9866071428571429,0.9800443458980045,0.9841386383236603,0.9880404135338345,0.9860643893078412
random forest,85824,0.9967105263157894,0.9785894206549118,0.9928698752228164,0.9771929824561404,0.9849690539345712,0.944206008583691,0.9821428571428571,0.9628008752735229,0.9685379419032537,0.9796679197994987,0.973884964604047
gradient boosting,85824,0.9945762844611529,0.9685138539042821,0.9927667269439421,0.9631578947368421,0.9777382012466607,0.9128630705394191,0.9821428571428571,0.9462365591397849,0.9528148987416806,0.9726503759398496,0.9619873801932228
mlp,85824,0.9974232456140351,0.9886649874055415,0.9912434325744308,0.9929824561403509,0.9921121822962313,0.9820627802690582,0.9776785714285714,0.9798657718120806,0.9866531064217445,0.9853305137844611,0.9859889770541559
