model,vocab,auc score,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg
logistic regression,165975,0.9966478696741855,0.9748110831234257,0.9910714285714286,0.9736842105263158,0.9823008849557523,0.9358974358974359,0.9776785714285714,0.9563318777292577,0.9634844322344323,0.9756813909774436,0.969316381342505
bernoulli naive-bayes,165975,0.6941964285714285,0.8148614609571788,0.7949790794979079,1.0,0.8857808857808858,1.0,0.34375,0.5116279069767442,0.897489539748954,0.671875,0.698704396378815
multinomial naive-bayes,165975,0.9981359649122807,0.982367758186398,0.9929078014184397,0.9824561403508771,0.9876543209876543,0.9565217391304348,0.9821428571428571,0.9691629955947136,0.9747147702744372,0.9822994987468672,0.978408658291184
linear svm,165975,0.9955043859649123,0.9899244332493703,0.9929824561403509,0.9929824561403509,0.9929824561403509,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.987562656641604,0.987562656641604,0.987562656641604
knn,165975,0.9803571428571429,0.9735516372795969,0.975736568457539,0.987719298245614,0.9816913687881429,0.967741935483871,0.9375,0.9523809523809523,0.971739251970705,0.962609649122807,0.9670361605845477
sgd,165975,0.9952459273182958,0.9886649874055415,0.9895287958115183,0.9947368421052631,0.9921259842519685,0.9864253393665159,0.9732142857142857,0.9797752808988764,0.9879770675890172,0.9839755639097745,0.9859506325754225
random forest,165975,0.9970238095238095,0.9861460957178841,0.987783595113438,0.9929824561403509,0.9903762029746283,0.9819004524886877,0.96875,0.9752808988764045,0.9848420238010629,0.9808662280701754,0.9828285509255164
gradient boosting,165975,0.990859962406015,0.9634760705289672,0.9753954305799648,0.9736842105263158,0.9745390693590869,0.9333333333333333,0.9375,0.9354120267260579,0.9543643819566491,0.955592105263158,0.9549755480425723
mlp,165975,0.9988330200501253,0.9924433249370277,0.9947368421052631,0.9947368421052631,0.9947368421052631,0.9866071428571429,0.9866071428571429,0.9866071428571429,0.9906719924812031,0.9906719924812031,0.9906719924812031
