model,vocab,auc score,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg
logistic regression,215272,0.9980341478696743,0.982367758186398,0.987719298245614,0.987719298245614,0.987719298245614,0.96875,0.96875,0.96875,0.978234649122807,0.978234649122807,0.978234649122807
bernoulli naive-bayes,215272,0.7098214285714286,0.8224181360201511,0.8016877637130801,1.0,0.8899297423887588,1.0,0.3705357142857143,0.5407166123778502,0.9008438818565401,0.6852678571428572,0.7153231773833044
multinomial naive-bayes,215272,0.9927984022556392,0.9924433249370277,0.993006993006993,0.9964912280701754,0.9947460595446586,0.990990990990991,0.9821428571428571,0.9865470852017937,0.991998991998992,0.9893170426065163,0.9906465723732261
linear svm,215272,0.9980106516290727,0.9811083123425692,0.9859894921190894,0.987719298245614,0.9868536371603858,0.968609865470852,0.9642857142857143,0.9664429530201342,0.9772996787949707,0.9760025062656641,0.97664829509026
knn,215272,0.9668546365914786,0.8916876574307305,0.9879032258064516,0.8596491228070176,0.9193245778611633,0.7315436241610739,0.9732142857142857,0.8352490421455939,0.8597234249837628,0.9164317042606516,0.8772868100033786
sgd,215272,0.9986372180451129,0.9836272040302267,0.9894551845342706,0.987719298245614,0.9885864793678665,0.9688888888888889,0.9732142857142857,0.9710467706013364,0.9791720367115797,0.9804667919799499,0.9798166249846014
random forest,215272,0.9979597431077694,0.9836272040302267,0.9929203539823008,0.9842105263157894,0.9885462555066078,0.9606986899563319,0.9821428571428571,0.9713024282560705,0.9768095219693164,0.9831766917293232,0.9799243418813391
gradient boosting,215272,0.9947838345864662,0.9773299748110831,0.9911032028469751,0.9771929824561404,0.9840989399293286,0.9439655172413793,0.9776785714285714,0.9605263157894738,0.9675343600441773,0.9774357769423558,0.9723126278594012
mlp,215272,0.9940006265664161,0.9886649874055415,0.9895287958115183,0.9947368421052631,0.9921259842519685,0.9864253393665159,0.9732142857142857,0.9797752808988764,0.9879770675890172,0.9839755639097745,0.9859506325754225
