model,vocab,auc score,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg
logistic regression,17835,0.9966087092731829,0.9785894206549118,0.9911190053285968,0.9789473684210527,0.9849955869373345,0.948051948051948,0.9776785714285714,0.9626373626373625,0.9695854766902724,0.9783129699248121,0.9738164747873486
bernoulli naive-bayes,17835,0.879562186716792,0.8513853904282116,0.8313782991202346,0.9947368421052631,0.9057507987220448,0.9732142857142857,0.48660714285714285,0.6488095238095237,0.9022962924172602,0.740671992481203,0.7772801612657843
multinomial naive-bayes,17835,0.9965695488721805,0.9798488664987406,0.9893992932862191,0.9824561403508771,0.9859154929577465,0.956140350877193,0.9732142857142857,0.9646017699115044,0.972769822081706,0.9778352130325814,0.9752586314346254
linear svm,17835,0.996890664160401,0.9861460957178841,0.9912126537785588,0.9894736842105263,0.990342405618964,0.9733333333333334,0.9776785714285714,0.9755011135857461,0.9822729935559461,0.9835761278195488,0.9829217596023551
knn,17835,0.9674420426065162,0.8816120906801007,0.9958333333333333,0.8385964912280702,0.9104761904761904,0.7070063694267515,0.9910714285714286,0.825278810408922,0.8514198513800424,0.9148339598997495,0.8678775004425563
sgd,17835,0.996687030075188,0.9874055415617129,0.9929577464788732,0.9894736842105263,0.9912126537785588,0.9734513274336283,0.9821428571428571,0.9777777777777777,0.9832045369562508,0.9858082706766917,0.9844952157781683
random forest,17835,0.996781015037594,0.9848866498740554,0.9911971830985915,0.987719298245614,0.9894551845342705,0.9690265486725663,0.9776785714285714,0.9733333333333334,0.980111865885579,0.9826989348370927,0.9813942589338019
gradient boosting,17835,0.9922070802005012,0.9722921914357683,0.9840989399293286,0.9771929824561404,0.9806338028169015,0.9429824561403509,0.9598214285714286,0.9513274336283186,0.9635406980348398,0.9685072055137844,0.96598061822261
mlp,17835,0.9981672932330827,0.9899244332493703,0.9929824561403509,0.9929824561403509,0.9929824561403509,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.987562656641604,0.987562656641604,0.987562656641604
