model,vocab,auc score,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg
logistic regression,17835,0.9964050751879698,0.9798488664987406,0.9859649122807017,0.9859649122807017,0.9859649122807017,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9751253132832081,0.9751253132832081,0.9751253132832081
bernoulli naive-bayes,17835,0.9962327694235589,0.9836272040302267,0.9911816578483245,0.9859649122807017,0.988566402814424,0.9647577092511013,0.9776785714285714,0.9711751662971174,0.9779696835497129,0.9818217418546366,0.9798707845557707
multinomial naive-bayes,17835,0.9971334586466166,0.9861460957178841,0.9912126537785588,0.9894736842105263,0.990342405618964,0.9733333333333334,0.9776785714285714,0.9755011135857461,0.9822729935559461,0.9835761278195488,0.9829217596023551
linear svm,17835,0.9927631578947368,0.9760705289672544,0.9808027923211169,0.9859649122807017,0.9833770778652668,0.9638009049773756,0.9508928571428571,0.9573033707865168,0.9723018486492463,0.9684288847117795,0.9703402243258918
knn,17835,0.921859335839599,0.8085642317380353,1.0,0.7333333333333333,0.846153846153846,0.5957446808510638,1.0,0.7466666666666666,0.7978723404255319,0.8666666666666667,0.7964102564102563
sgd,17835,0.9970864661654135,0.9836272040302267,0.9894551845342706,0.987719298245614,0.9885864793678665,0.9688888888888889,0.9732142857142857,0.9710467706013364,0.9791720367115797,0.9804667919799499,0.9798166249846014
random forest,17835,0.9968201754385966,0.9811083123425692,0.9826086956521739,0.9912280701754386,0.9868995633187774,0.9771689497716894,0.9553571428571429,0.9661399548532732,0.9798888227119317,0.9732926065162908,0.9765197590860253
gradient boosting,17835,0.9913416353383459,0.9634760705289672,0.9856373429084381,0.9631578947368421,0.974267968056788,0.9113924050632911,0.9642857142857143,0.9370932754880694,0.9485148739858646,0.9637218045112782,0.9556806217724287
mlp,17835,0.9982612781954887,0.9848866498740554,0.9911971830985915,0.987719298245614,0.9894551845342705,0.9690265486725663,0.9776785714285714,0.9733333333333334,0.980111865885579,0.9826989348370927,0.9813942589338019
