model,vocab,auc score,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg
logistic regression,83546,0.9971569548872181,0.9571788413098237,0.9926470588235294,0.9473684210526315,0.9694793536804309,0.88,0.9821428571428571,0.9282700421940928,0.9363235294117647,0.9647556390977443,0.9488746979372619
bernoulli naive-bayes,83546,0.7405153508771929,0.8047858942065491,0.7862068965517242,1.0,0.8803088803088803,1.0,0.3080357142857143,0.4709897610921501,0.8931034482758621,0.6540178571428572,0.6756493207005152
multinomial naive-bayes,83546,0.9973919172932332,0.9836272040302267,0.9860383944153578,0.9912280701754386,0.9886264216972879,0.9773755656108597,0.9642857142857143,0.9707865168539326,0.9817069800131087,0.9777568922305764,0.9797064692756102
linear svm,83546,0.9979323308270677,0.9836272040302267,0.9877408056042032,0.9894736842105263,0.9886064855390009,0.9730941704035875,0.96875,0.9709172259507831,0.9804174880038954,0.9791118421052631,0.9797618557448919
knn,83546,0.970093201754386,0.9596977329974811,0.9528619528619529,0.9929824561403509,0.9725085910652921,0.98,0.875,0.9245283018867924,0.9664309764309764,0.9339912280701754,0.9485184464760422
sgd,83546,0.9977130325814536,0.9836272040302267,0.9860383944153578,0.9912280701754386,0.9886264216972879,0.9773755656108597,0.9642857142857143,0.9707865168539326,0.9817069800131087,0.9777568922305764,0.9797064692756102
random forest,83546,0.9956845238095238,0.9710327455919395,0.9927927927927928,0.9666666666666667,0.9795555555555556,0.9205020920502092,0.9821428571428571,0.9503239740820733,0.956647442421501,0.9744047619047619,0.9649397648188145
gradient boosting,83546,0.9841400375939848,0.9395465994962217,0.9869402985074627,0.9280701754385965,0.9566003616636528,0.8410852713178295,0.96875,0.900414937759336,0.914012784912646,0.9484100877192982,0.9285076497114944
mlp,83546,0.9974937343358397,0.9848866498740554,0.9894736842105263,0.9894736842105263,0.9894736842105263,0.9732142857142857,0.9732142857142857,0.9732142857142857,0.9813439849624059,0.9813439849624059,0.9813439849624059
