model,vocab,auc score,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg
logistic regression,18539,0.9971412907268171,0.9861460957178841,0.9929453262786596,0.987719298245614,0.990325417766051,0.9691629955947136,0.9821428571428571,0.9756097560975608,0.9810541609366866,0.9849310776942355,0.982967586931806
bernoulli naive-bayes,18539,0.7414512844611529,0.8261964735516373,0.8068181818181818,0.9964912280701754,0.891679748822606,0.9777777777777777,0.39285714285714285,0.5605095541401274,0.8922979797979798,0.6946741854636591,0.7260946514813666
multinomial naive-bayes,18539,0.9968045112781955,0.9811083123425692,0.9911504424778761,0.9824561403508771,0.9867841409691629,0.9563318777292577,0.9776785714285714,0.9668874172185431,0.9737411601035668,0.9800673558897243,0.976835779093853
linear svm,18539,0.9984805764411028,0.9886649874055415,0.9895287958115183,0.9947368421052631,0.9921259842519685,0.9864253393665159,0.9732142857142857,0.9797752808988764,0.9879770675890172,0.9839755639097745,0.9859506325754225
knn,18539,0.954703164160401,0.8677581863979849,1.0,0.8157894736842105,0.898550724637681,0.6808510638297872,1.0,0.810126582278481,0.8404255319148937,0.9078947368421053,0.854338653458081
sgd,18539,0.9986528822055138,0.9874055415617129,0.9895104895104895,0.9929824561403509,0.9912434325744307,0.9819819819819819,0.9732142857142857,0.9775784753363228,0.9857462357462357,0.9830983709273182,0.9844109539553767
random forest,18539,0.9976386278195488,0.9861460957178841,0.9912126537785588,0.9894736842105263,0.990342405618964,0.9733333333333334,0.9776785714285714,0.9755011135857461,0.9822729935559461,0.9835761278195488,0.9829217596023551
gradient boosting,18539,0.9942042606516291,0.9748110831234257,0.9841549295774648,0.980701754385965,0.9824253075571179,0.9513274336283186,0.9598214285714286,0.9555555555555556,0.9677411816028917,0.9702615914786967,0.9689904315563367
mlp,18539,0.9981829573934836,0.9911838790931989,0.9912739965095986,0.9964912280701754,0.9938757655293089,0.9909502262443439,0.9776785714285714,0.9842696629213483,0.9911121113769712,0.9870848997493734,0.9890727142253286
