model,vocab,auc score,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg
logistic regression,18539,0.9981672932330826,0.9836272040302267,0.9860383944153578,0.9912280701754386,0.9886264216972879,0.9773755656108597,0.9642857142857143,0.9707865168539326,0.9817069800131087,0.9777568922305764,0.9797064692756102
bernoulli naive-bayes,18539,0.9578399122807019,0.8879093198992444,0.869431643625192,0.9929824561403509,0.9271089271089271,0.972027972027972,0.6205357142857143,0.7574931880108992,0.920729807826582,0.8067590852130326,0.8423010575599131
multinomial naive-bayes,18539,0.9973762531328322,0.9886649874055415,0.9895287958115183,0.9947368421052631,0.9921259842519685,0.9864253393665159,0.9732142857142857,0.9797752808988764,0.9879770675890172,0.9839755639097745,0.9859506325754225
linear svm,18539,0.9979949874686718,0.9811083123425692,0.9859894921190894,0.987719298245614,0.9868536371603858,0.968609865470852,0.9642857142857143,0.9664429530201342,0.9772996787949707,0.9760025062656641,0.97664829509026
knn,18539,0.9655662593984962,0.9168765743073047,0.9077669902912622,0.9842105263157894,0.9444444444444444,0.9488636363636364,0.7455357142857143,0.8350000000000001,0.9283153133274493,0.8648731203007518,0.8897222222222223
sgd,18539,0.9983004385964912,0.9748110831234257,0.9875886524822695,0.9771929824561404,0.982363315696649,0.9434782608695652,0.96875,0.9559471365638766,0.9655334566759173,0.9729714912280703,0.9691552261302628
random forest,18539,0.997094298245614,0.9836272040302267,0.9843478260869565,0.9929824561403509,0.988646288209607,0.9817351598173516,0.9598214285714286,0.9706546275395034,0.983041492952154,0.9764019423558897,0.9796504578745552
gradient boosting,18539,0.9948034147869674,0.9748110831234257,0.9774305555555556,0.987719298245614,0.9825479930191972,0.9678899082568807,0.9419642857142857,0.9547511312217194,0.9726602319062181,0.9648417919799499,0.9686495621204583
mlp,18539,0.9984335839598997,0.9911838790931989,0.9895652173913043,0.9982456140350877,0.9938864628820961,0.9954337899543378,0.9732142857142857,0.9841986455981941,0.992499503672821,0.9857299498746868,0.9890425542401451
