model,vocab,auc score,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg
logistic regression,500,0.9961936090225564,0.9722921914357683,0.9858156028368794,0.9754385964912281,0.9805996472663139,0.9391304347826087,0.9642857142857143,0.9515418502202643,0.9624730188097441,0.9698621553884712,0.9660707487432891
bernoulli naive-bayes,500,0.9783521303258145,0.9382871536523929,0.9744990892531876,0.9385964912280702,0.9562109025915996,0.8571428571428571,0.9375,0.8955223880597014,0.9158209731980224,0.9380482456140351,0.9258666453256506
multinomial naive-bayes,500,0.990593671679198,0.9508816120906801,0.988950276243094,0.9421052631578948,0.9649595687331537,0.8685258964143426,0.9732142857142857,0.9178947368421053,0.9287380863287182,0.9576597744360902,0.9414271527876295
linear svm,500,0.9960526315789473,0.982367758186398,0.9894366197183099,0.9859649122807017,0.9876977152899824,0.9646017699115044,0.9732142857142857,0.9688888888888889,0.9770191948149072,0.9795895989974936,0.9782933020894357
knn,500,0.986904761904762,0.964735516372796,0.987410071942446,0.9631578947368421,0.9751332149200711,0.9117647058823529,0.96875,0.9393939393939394,0.9495873889123995,0.9659539473684211,0.9572635771570053
sgd,500,0.9950579573934838,0.9785894206549118,0.9876543209876543,0.9824561403508771,0.9850483729111696,0.9559471365638766,0.96875,0.9623059866962306,0.9718007287757655,0.9756030701754386,0.9736771798037
random forest,500,0.9972587719298245,0.9811083123425692,0.9894179894179894,0.9842105263157894,0.9868073878627968,0.960352422907489,0.9732142857142857,0.966740576496674,0.9748852061627392,0.9787124060150376,0.9767739821797354
gradient boosting,500,0.9950501253132831,0.9735516372795969,0.9875666074600356,0.9754385964912281,0.9814651368049426,0.9393939393939394,0.96875,0.9538461538461539,0.9634802734269875,0.972094298245614,0.9676556453255483
mlp,500,0.9952302631578946,0.9710327455919395,0.984070796460177,0.9754385964912281,0.9797356828193833,0.9388646288209607,0.9598214285714286,0.9492273730684327,0.9614677126405689,0.9676300125313284,0.9644815279439081
