model,vocab,auc score,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg
logistic regression,215272,0.9973449248120302,0.9798488664987406,0.9928825622775801,0.9789473684210527,0.9858657243816255,0.9482758620689655,0.9821428571428571,0.9649122807017544,0.9705792121732728,0.9805451127819549,0.9753890025416899
bernoulli naive-bayes,215272,0.7098214285714286,0.8224181360201511,0.8016877637130801,1.0,0.8899297423887588,1.0,0.3705357142857143,0.5407166123778502,0.9008438818565401,0.6852678571428572,0.7153231773833044
multinomial naive-bayes,215272,0.9976973684210526,0.9861460957178841,0.9929453262786596,0.987719298245614,0.990325417766051,0.9691629955947136,0.9821428571428571,0.9756097560975608,0.9810541609366866,0.9849310776942355,0.982967586931806
linear svm,215272,0.9975093984962407,0.9874055415617129,0.9912280701754386,0.9912280701754386,0.9912280701754386,0.9776785714285714,0.9776785714285714,0.9776785714285714,0.984453320802005,0.984453320802005,0.984453320802005
knn,215272,0.9830083020050125,0.9735516372795969,0.9824253075571178,0.980701754385965,0.9815627743634767,0.9511111111111111,0.9553571428571429,0.9532293986636972,0.9667682093341144,0.9680294486215539,0.9673960865135869
sgd,215272,0.996953320802005,0.9874055415617129,0.9878048780487805,0.9947368421052631,0.9912587412587412,0.9863636363636363,0.96875,0.9774774774774775,0.9870842572062084,0.9817434210526316,0.9843681093681094
random forest,215272,0.9980968045112781,0.9886649874055415,0.9912434325744308,0.9929824561403509,0.9921121822962313,0.9820627802690582,0.9776785714285714,0.9798657718120806,0.9866531064217445,0.9853305137844611,0.9859889770541559
gradient boosting,215272,0.9957236842105263,0.9798488664987406,0.9876760563380281,0.9842105263157894,0.9859402460456941,0.9601769911504425,0.96875,0.9644444444444444,0.9739265237442354,0.9764802631578947,0.9751923452450693
mlp,215272,0.9979166666666667,0.9861460957178841,0.9912126537785588,0.9894736842105263,0.990342405618964,0.9733333333333334,0.9776785714285714,0.9755011135857461,0.9822729935559461,0.9835761278195488,0.9829217596023551
