model,vocab,auc score,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg
logistic regression,17835,0.9960134711779449,0.9861460957178841,0.987783595113438,0.9929824561403509,0.9903762029746283,0.9819004524886877,0.96875,0.9752808988764045,0.9848420238010629,0.9808662280701754,0.9828285509255164
bernoulli naive-bayes,17835,0.9671835839598998,0.871536523929471,0.8513513513513513,0.9947368421052631,0.9174757281553398,0.9765625,0.5580357142857143,0.7102272727272727,0.9139569256756757,0.7763862781954887,0.8138515004413063
multinomial naive-bayes,17835,0.9957158521303258,0.9697732997481109,0.9595959595959596,1.0,0.979381443298969,1.0,0.8928571428571429,0.9433962264150945,0.9797979797979798,0.9464285714285714,0.9613888348570317
linear svm,17835,0.996843671679198,0.9886649874055415,0.9912434325744308,0.9929824561403509,0.9921121822962313,0.9820627802690582,0.9776785714285714,0.9798657718120806,0.9866531064217445,0.9853305137844611,0.9859889770541559
knn,17835,0.9794094611528822,0.9546599496221663,0.9435215946843853,0.9964912280701754,0.9692832764505118,0.9895833333333334,0.8482142857142857,0.9134615384615384,0.9665524640088594,0.9223527568922305,0.9413724074560251
sgd,17835,0.9964129072681704,0.9899244332493703,0.9929824561403509,0.9929824561403509,0.9929824561403509,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.987562656641604,0.987562656641604,0.987562656641604
random forest,17835,0.996921992481203,0.9899244332493703,0.9895470383275261,0.9964912280701754,0.993006993006993,0.990909090909091,0.9732142857142857,0.9819819819819819,0.9902280646183086,0.9848527568922305,0.9874944874944875
gradient boosting,17835,0.9934093045112782,0.964735516372796,0.9704861111111112,0.980701754385965,0.9755671902268761,0.9495412844036697,0.9241071428571429,0.9366515837104072,0.9600136977573904,0.9524044486215539,0.9561093869686417
mlp,17835,0.9980419799498746,0.9924433249370277,0.9895833333333334,1.0,0.9947643979057591,1.0,0.9732142857142857,0.9864253393665159,0.9947916666666667,0.9866071428571428,0.9905948686361374
