model,vocab,auc score,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg
logistic regression,113187,0.9924107142857143,0.9143576826196473,0.998015873015873,0.8824561403508772,0.936685288640596,0.7689655172413793,0.9955357142857143,0.867704280155642,0.8834906951286261,0.9389959273182957,0.9021947843981191
bernoulli naive-bayes,113187,0.6026785714285714,0.7644836272040302,0.7529722589167768,1.0,0.8590806330067823,1.0,0.16517857142857142,0.2835249042145594,0.8764861294583883,0.5825892857142857,0.5713027686106709
multinomial naive-bayes,113187,0.9915961779448621,0.9609571788413098,0.959114139693356,0.987719298245614,0.9732065687121867,0.966183574879227,0.8928571428571429,0.9280742459396752,0.9626488572862915,0.9402882205513785,0.9506404073259309
linear svm,113187,0.9942590852130325,0.9672544080604534,0.9857142857142858,0.968421052631579,0.976991150442478,0.9230769230769231,0.9642857142857143,0.943231441048035,0.9543956043956044,0.9663533834586466,0.9601112957452564
knn,113187,0.971749686716792,0.9458438287153652,0.9566724436741768,0.968421052631579,0.962510897994769,0.9170506912442397,0.8883928571428571,0.9024943310657596,0.9368615674592082,0.928406954887218,0.9325026145302643
sgd,113187,0.993843984962406,0.9672544080604534,0.9822695035460993,0.9719298245614035,0.9770723104056437,0.9304347826086956,0.9553571428571429,0.9427312775330396,0.9563521430773975,0.9636434837092732,0.9599017939693417
random forest,113187,0.9843828320802005,0.9219143576826196,0.9941634241245136,0.8964912280701754,0.9428044280442804,0.7892857142857143,0.9866071428571429,0.876984126984127,0.8917245692051139,0.9415491854636592,0.9098942775142037
gradient boosting,113187,0.9675007832080201,0.8853904282115869,0.9897750511247444,0.8491228070175438,0.9140698772426818,0.7180327868852459,0.9776785714285714,0.8279773156899811,0.8539039190049951,0.9134006892230576,0.8710235964663315
mlp,113187,0.9938126566416039,0.9685138539042821,0.9823008849557522,0.9736842105263158,0.9779735682819383,0.9344978165938864,0.9553571428571429,0.944812362030905,0.9583993507748193,0.9645206766917294,0.9613929651564217
