model,vocab,auc score,accuracy,precision 1,recall 1,f1 score 1,precision 0,recall 0,f1 score 0,precision avg,recall avg,f1 avg
logistic regression,85824,0.997141290726817,0.9748110831234257,0.992831541218638,0.9719298245614035,0.9822695035460993,0.9322033898305084,0.9821428571428571,0.9565217391304348,0.9625174655245732,0.9770363408521303,0.9693956213382671
bernoulli naive-bayes,85824,0.7915961779448621,0.8400503778337531,0.8177905308464849,1.0,0.899763220205209,1.0,0.4330357142857143,0.6043613707165109,0.9088952654232425,0.7165178571428572,0.75206229546086
multinomial naive-bayes,85824,0.9979636591478697,0.9836272040302267,0.9911816578483245,0.9859649122807017,0.988566402814424,0.9647577092511013,0.9776785714285714,0.9711751662971174,0.9779696835497129,0.9818217418546366,0.9798707845557707
linear svm,85824,0.9954495614035088,0.9899244332493703,0.9929824561403509,0.9929824561403509,0.9929824561403509,0.9821428571428571,0.9821428571428571,0.9821428571428571,0.987562656641604,0.987562656641604,0.987562656641604
knn,85824,0.9835408834586467,0.9710327455919395,0.9773123909249564,0.9824561403508771,0.9798775153105861,0.9547511312217195,0.9419642857142857,0.9483146067415731,0.966031761073338,0.9622102130325814,0.9640960610260796
sgd,85824,0.9951754385964912,0.9911838790931989,0.9929947460595446,0.9947368421052631,0.9938650306748467,0.9865470852017937,0.9821428571428571,0.9843400447427293,0.9897709156306691,0.9884398496240601,0.989102537708788
random forest,85824,0.9972783521303259,0.9874055415617129,0.9929577464788732,0.9894736842105263,0.9912126537785588,0.9734513274336283,0.9821428571428571,0.9777777777777777,0.9832045369562508,0.9858082706766917,0.9844952157781683
gradient boosting,85824,0.9944118107769423,0.9685138539042821,0.9840142095914742,0.9719298245614035,0.9779346866725507,0.9307359307359307,0.9598214285714286,0.9450549450549451,0.9573750701637025,0.9658756265664161,0.961494815863748
mlp,85824,0.9983239348370928,0.9861460957178841,0.9929453262786596,0.987719298245614,0.990325417766051,0.9691629955947136,0.9821428571428571,0.9756097560975608,0.9810541609366866,0.9849310776942355,0.982967586931806
